Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                   4,699,543,189 |Average Number of Trades/Week                                                 542 |Notional traded in prior 8 Weeks                               30,319,658,485 |Contracts traded in prior 8 Weeks                                              3,142 |DC RegionAmericas
UNISYS CORPORATION|TECHNOLOGY|CORP|                                        10,980,550 |                                                    5 |                                    72,266,289 |                                                 34 |Americas
RENTOKIL INITIAL PLC|INDUSTRIALS|CORP|                                        10,298,540 |                                                    1 |                                    46,458,925 |                                                 10 |Europe
TATE & LYLE PUBLIC LIMITED COMPANY|CONSUMER GOODS|CORP|                                        10,294,836 |                                                    3 |                                    21,076,488 |                                                 12 |Europe
LEVEL 3 PARENT, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                        10,204,558 |                                                    2 |                                  144,400,000 |                                                 23 |Americas
RECKITT BENCKISER GROUP PLC|CONSUMER GOODS|CORP|                                        10,180,868 |                                                    3 |                                    95,977,339 |                                                   8 |Europe
CARE UK HEALTH & SOCIAL CARE PLC|HEALTHCARE|CORP|                                        10,176,519 |                                                    5 |                                  183,462,022 |                                                 92 |Europe
KOREA ELECTRIC POWER CORPORATION|UTILITIES|STATBODY|                                        10,060,577 |                                                    1 |                                    27,625,000 |                                                   6 |Asia Ex-Japan
HITACHI, LTD.|INDUSTRIALS|CORP|                                          9,943,680 |                                                    3 |                                    64,567,222 |                                                 16 |Japan
DILLARD'S, INC.|CONSUMER SERVICES|CORP|                                          9,921,538 |                                                    3 |                                  145,800,000 |                                                 48 |Americas
PACIFIC GAS AND ELECTRIC COMPANY|UTILITIES|CORP|                                          9,846,154 |                                                    1 |                                    61,000,000 |                                                 10 |Americas
SUN HUNG KAI PROPERTIES LIMITED|FINANCIALS|CORP|                                          9,842,308 |                                                    2 |                                  135,550,000 |                                                 28 |Asia Ex-Japan
LOXAM|INDUSTRIALS|CORP|                                          9,611,815 |                                                    4 |                                    81,997,407 |                                                 41 |Europe
PANASONIC CORPORATION|CONSUMER GOODS|CORP|                                          9,531,232 |                                                    2 |                                    56,253,458 |                                                 16 |Japan
SAMSUNG ELECTRONICS CO., LTD.|TECHNOLOGY|CORP|                                          9,504,808 |                                                    1 |                                    42,450,000 |                                                 10 |Asia Ex-Japan
DELTA AIR LINES, INC.|INDUSTRIALS|CORP|                                          9,385,385 |                                                    2 |                                    59,500,000 |                                                 20 |Americas
MBIA INSURANCE CORPORATION|FINANCIALS|CORP|                                          9,372,731 |                                                    4 |                                    25,000,000 |                                                 15 |Americas
MUFG BANK, LTD.|FINANCIALS|CORP|                                          9,350,000 |                                                    1 |                                                 -   |                                                  -   |Japan
CABLE & WIRELESS LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                          9,248,212 |                                                    5 |                                  112,838,791 |                                                 54 |Europe
NOVA CHEMICALS CORPORATION|BASIC MATERIALS|CORP|                                          9,223,077 |                                                    4 |                                    60,800,000 |                                                 36 |Americas
MURPHY OIL CORPORATION|ENERGY|CORP|                                          9,155,000 |                                                    4 |                                  161,670,000 |                                                 40 |Americas
RICOH COMPANY, LTD.|TECHNOLOGY|CORP|                                          9,038,232 |                                                    2 |                                    55,691,375 |                                                 16 |Japan
WHITING PETROLEUM CORPORATION|ENERGY|CORP|                                          8,993,962 |                                                    4 |                                    82,100,000 |                                                 35 |Americas
HUNGARY|GOVERNMENT|SOV|                                          8,879,808 |                                                    2 |                                    70,750,000 |                                                 10 |Europe
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                          8,755,720 |                                                    3 |                                    84,419,265 |                                                 40 |Europe
CAPITAL ONE FINANCIAL CORPORATION|FINANCIALS|CORP|                                          8,536,538 |                                                    1 |                                      2,000,000 |                                                   2 |Americas
RELIANCE INDUSTRIES LIMITED|BASIC MATERIALS|CORP|                                          8,475,962 |                                                    2 |                                  113,525,000 |                                                 29 |Asia Ex-Japan
TOKYO ELECTRIC POWER COMPANY HOLDINGS, INCORPORATED|UTILITIES|CORP|                                          8,463,527 |                                                    2 |                                    42,698,408 |                                                 10 |Japan
PETROLIAM NASIONAL BERHAD (PETRONAS)|ENERGY|CORP|                                          8,434,360 |                                                    2 |                                    54,125,000 |                                                 10 |Asia Ex-Japan
KOMATSU LTD.|INDUSTRIALS|CORP|                                          8,144,706 |                                                    1 |                                    54,897,953 |                                                 13 |Japan
PARKER DRILLING COMPANY|ENERGY|CORP|                                          7,873,577 |                                                    6 |                                    50,440,000 |                                                 23 |
UNITED STATES OF AMERICA|GOVERNMENT|SOV|                                          7,844,847 |                                                    1 |                                      5,665,723 |                                                   1 |Americas
NUCOR CORPORATION|BASIC MATERIALS|CORP|                                          7,761,538 |                                                    1 |                                                 -   |                                                  -   |Americas
DEXIA CREDIT LOCAL|FINANCIALS|CORP|                                          7,656,270 |                                                    1 |                                    39,158,868 |                                                   2 |Europe
FRESENIUS SE & CO. KGAA|HEALTHCARE|CORP|                                          7,620,397 |                                                    2 |                                  106,402,269 |                                                 37 |Europe
HONDA MOTOR CO., LTD.|CONSUMER GOODS|CORP|                                          7,505,674 |                                                    2 |                                    66,555,296 |                                                 18 |Japan
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|FINANCIALS|CORP|                                          7,440,009 |                                                    2 |                                    36,713,882 |                                                 27 |Europe
SWIRE PACIFIC LIMITED|FINANCIALS|CORP|                                          7,352,885 |                                                    2 |                                  112,625,000 |                                                 22 |Asia Ex-Japan
TIME WARNER CABLE, LLC|CONSUMER SERVICES|CORP|                                          7,334,231 |                                                    3 |                                    54,890,000 |                                                 26 |Americas
SONY CORPORATION|CONSUMER GOODS|CORP|                                          7,253,804 |                                                    2 |                                    36,420,883 |                                                 10 |Japan
VALE SA|BASIC MATERIALS|CORP|                                          7,250,738 |                                                    2 |                                  166,074,181 |                                                 40 |Americas
HOCHTIEF AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                          7,210,885 |                                                    2 |                                      7,165,439 |                                                   4 |Europe
BAUSCH HEALTH COMPANIES INC.|HEALTHCARE|CORP|                                          7,150,000 |                                                    3 |                                  148,500,000 |                                                 56 |Americas
T-MOBILE USA, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                          7,036,692 |                                                    2 |                                    87,250,000 |                                                 18 |Americas
THE ISRAEL ELECTRIC CORPORATION LTD.|UTILITIES|CORP|                                          6,986,843 |                                                    1 |                                    60,200,000 |                                                   4 |Europe
KEB HANA BANK|FINANCIALS|CORP|                                          6,883,654 |                                                    1 |                                    40,825,000 |                                                 10 |Asia Ex-Japan
TALEN ENERGY SUPPLY, LLC|UTILITIES|CORP|                                          6,785,475 |                                                    2 |                                    63,490,000 |                                                 18 |Americas
KINGFISHER PLC|CONSUMER SERVICES|CORP|                                          6,589,671 |                                                    2 |                                    35,354,108 |                                                 11 |Europe
CELLNEX TELECOM, S.A.|TECHNOLOGY|CORP|                                          6,532,142 |                                                    3 |                                    56,992,069 |                                                 35 |Europe
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|TELECOMMUNICATIONS SERVICES|CORP|                                          6,344,857 |                                                    2 |                                    85,201,289 |                                                 18 |Americas
ADLER REAL ESTATE AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                          6,194,596 |                                                    3 |                                  105,427,764 |                                                 52 |Europe
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1|FINANCIALS|CORP|                                          6,076,923 |                                                    1 |                                    25,000,000 |                                                   2 |Australia NZ
BAYERISCHE LANDESBANK|FINANCIALS|STATBODY|                                          6,036,174 |                                                    1 |                                    28,328,613 |                                                   1 |Europe
HAMMERSON PLC|FINANCIALS|CORP|                                          5,810,062 |                                                    1 |                                      9,971,672 |                                                   2 |Europe
OWENS-ILLINOIS, INC.|INDUSTRIALS|CORP|                                          5,792,308 |                                                    1 |                                    20,000,000 |                                                   2 |Americas
MITSUBISHI HEAVY INDUSTRIES, LTD.|INDUSTRIALS|CORP|                                          5,760,896 |                                                    1 |                                    28,239,688 |                                                   7 |Japan
MGM GROWTH PROPERTIES OPERATING PARTNERSHIP LP|CONSUMER SERVICES|CORP|                                          5,738,462 |                                                    2 |                                      6,600,000 |                                                 10 |Americas
MAZDA MOTOR CORPORATION|CONSUMER GOODS|CORP|                                          5,734,829 |                                                    1 |                                    67,775,250 |                                                   9 |Japan
PERSTORP HOLDING AB|BASIC MATERIALS|CORP|                                          5,665,723 |                                                    1 |                                                 -   |                                                  -   |Europe
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|HEALTHCARE|CORP|                                          5,615,984 |                                                    2 |                                    22,662,890 |                                                   6 |Europe
UNIVISION COMMUNICATIONS INC.|CONSUMER SERVICES|CORP|                                          5,584,615 |                                                    2 |                                    68,500,000 |                                                 29 |Americas
BANK OF INDIA|FINANCIALS|STATBODY|                                          5,562,000 |                                                    2 |                                    84,015,000 |                                                 25 |Asia Ex-Japan
PIONEER NATURAL RESOURCES COMPANY|ENERGY|CORP|                                          5,528,231 |                                                    1 |                                      8,100,000 |                                                   2 |Americas
KAJIMA CORPORATION|INDUSTRIALS|CORP|                                          5,450,784 |                                                    2 |                                    32,938,772 |                                                 11 |Japan
ENTERPRISE PRODUCTS OPERATING LLC|ENERGY|CORP|                                          5,384,615 |                                                    1 |                                                 -   |                                                  -   |Americas
NEC CORPORATION|TECHNOLOGY|CORP|                                          5,298,574 |                                                    2 |                                    52,186,943 |                                                 13 |Japan
FCC AQUALIA, S.A.|UTILITIES|CORP|                                          5,273,480 |                                                    1 |                                  100,283,288 |                                                 22 |Europe
THE HONGKONG LAND COMPANY, LIMITED|FINANCIALS|CORP|                                          5,177,885 |                                                    2 |                                    82,575,000 |                                                 22 |Asia Ex-Japan
PCCW-HKT TELEPHONE LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                          5,145,192 |                                                    1 |                                    17,350,000 |                                                   5 |Asia Ex-Japan
CIGNA CORPORATION|HEALTHCARE|CORP|                                          5,076,923 |                                                    1 |                                                 -   |                                                  -   |Americas
SAFEWAY LIMITED|CONSUMER SERVICES|CORP|                                          5,070,168 |                                                    2 |                                    30,821,530 |                                                 15 |Europe
SCANIA AKTIEBOLAG|INDUSTRIALS|CORP|                                          5,011,985 |                                                    1 |                                    22,662,890 |                                                   1 |Europe
CAPITALAND LIMITED|FINANCIALS|CORP|                                          4,991,346 |                                                    2 |                                    52,775,000 |                                                 16 |Asia Ex-Japan
GRIFOLS, S.A.|HEALTHCARE|CORP|                                          4,974,069 |                                                    2 |                                    33,427,763 |                                                 15 |Europe
WOORI BANK|FINANCIALS|CORP|                                          4,972,115 |                                                    1 |                                    27,625,000 |                                                   6 |Asia Ex-Japan
IDBI BANK LIMITED|FINANCIALS|CORP|                                          4,956,731 |                                                    1 |                                    40,450,000 |                                                 14 |Asia Ex-Japan
ABBOTT LABORATORIES|HEALTHCARE|CORP|                                          4,832,692 |                                                    1 |                                                 -   |                                                  -   |Americas
SUMITOMO CHEMICAL COMPANY, LIMITED|BASIC MATERIALS|CORP|                                          4,802,466 |                                                    2 |                                    28,239,688 |                                                   7 |Japan
TELEKOM MALAYSIA BERHAD|TELECOMMUNICATIONS SERVICES|CORP|                                          4,783,654 |                                                    1 |                                    42,625,000 |                                                   8 |Asia Ex-Japan
KINGDOM OF THE NETHERLANDS|GOVERNMENT|SOV|                                          4,565,385 |                                                    1 |                                    68,200,000 |                                                   6 |Europe
UNITED OVERSEAS BANK LIMITED|FINANCIALS|CORP|                                          4,360,577 |                                                    1 |                                    42,125,000 |                                                 12 |Asia Ex-Japan
WENDY'S INTERNATIONAL, LLC|CONSUMER SERVICES|CORP|                                          4,307,692 |                                                    1 |                                    10,000,000 |                                                   1 |Americas
REPUBLIC OF CROATIA|GOVERNMENT|SOV|                                          4,279,731 |                                                    1 |                                    33,773,000 |                                                   7 |Europe
TECHEM GMBH|INDUSTRIALS|CORP|                                          4,275,975 |                                                    1 |                                      9,064,873 |                                                   3 |Europe
OVERSEA-CHINESE BANKING CORPORATION LIMITED|FINANCIALS|CORP|                                          4,262,500 |                                                    2 |                                    31,625,000 |                                                   9 |Asia Ex-Japan
JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK|FINANCIALS|CORP|                                          4,230,769 |                                                    1 |                                      4,719,000 |                                                   1 |Europe
SK TELECOM CO., LTD.|TELECOMMUNICATIONS SERVICES|CORP|                                          4,110,577 |                                                    1 |                                    67,625,000 |                                                   8 |Asia Ex-Japan
SVENSKA HANDELSBANKEN AB|FINANCIALS|CORP|                                          4,109,828 |                                                    2 |                                        679,887 |                                                   1 |Europe
HYUNDAI MOTOR COMPANY|CONSUMER GOODS|CORP|                                          4,072,115 |                                                    1 |                                    38,625,000 |                                                   9 |Asia Ex-Japan
BOSTON PROPERTIES LIMITED PARTNERSHIP|FINANCIALS|CORP|                                          4,061,538 |                                                    1 |                                    25,600,000 |                                                   6 |Americas
ALGECO GLOBAL FINANCE PLC|INDUSTRIALS|CORP|                                          3,999,564 |                                                    2 |                                    34,560,907 |                                                 17 |Europe
SINGAPORE TELECOMMUNICATIONS LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                          3,975,962 |                                                    1 |                                    37,625,000 |                                                   8 |Asia Ex-Japan
PROLOGIS, L.P.|FINANCIALS|CORP|                                          3,950,000 |                                                    1 |                                                 -   |                                                  -   |Americas
INDUSTRIAL BANK OF KOREA|FINANCIALS|STATBODY|                                          3,937,500 |                                                    1 |                                    50,125,000 |                                                   8 |Asia Ex-Japan
PEPSICO, INC.|CONSUMER GOODS|CORP|                                          3,923,077 |                                                    1 |                                    10,000,000 |                                                   1 |Americas
ELIS|INDUSTRIALS|CORP|                                          3,887,644 |                                                    3 |                                    45,745,043 |                                                 45 |Europe
SULTANATE OF OMAN|GOVERNMENT|SOV|                                          3,872,654 |                                                    1 |                                    64,260,000 |                                                 10 |Europe
NORBORD INC.|CONSUMER GOODS|CORP|                                          3,846,154 |                                                    1 |                                                 -   |                                                  -   |Americas
BENI STABILI SOCIETA PER AZIONI SOCIETA DI INVESTIMENTO IMMOBILIARE QUOTATA|FINANCIALS|CORP|                                          3,839,720 |                                                    2 |                                      4,533,145 |                                                   3 |
TRANSDIGM INC.|INDUSTRIALS|CORP|                                          3,769,231 |                                                    2 |                                    57,000,000 |                                                 24 |Americas
REPUBLIC OF ECUADOR|GOVERNMENT|SOV|                                          3,769,231 |                                                    1 |                                                 -   |                                                  -   |Americas
KT CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                          3,745,192 |                                                    1 |                                    27,625,000 |                                                   6 |Asia Ex-Japan
BORGWARNER INC.|CONSUMER GOODS|CORP|                                          3,738,462 |                                                    1 |                                      2,500,000 |                                                   1 |Americas
MARATHON OIL CORPORATION|ENERGY|CORP|                                          3,675,000 |                                                    1 |                                    49,100,000 |                                                 21 |Americas
PUBLIC POWER CORPORATION FINANCE PLC|UTILITIES|CORP|                                          3,634,768 |                                                    2 |                                    33,427,479 |                                                 16 |Europe
