Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
VEON HOLDINGS B.V.|TECHNOLOGY|CORP|384,615 |1 |10,000,000 |1 |Europe
COMISION FEDERAL DE           ELECTRICIDAD|UTILITIES|STATBODY|384,615 |1 |10,000,000 |14 |Americas
KINGDOM OF DENMARK|GOVERNMENT|SOV|384,615 |1 ||   |Europe
REPUBLIC OF SLOVENIA|GOVERNMENT|SOV|384,615 |1 ||   |Europe
AIRPORT AUTHORITY|INDUSTRIALS|STATBODY|384,615 |1 ||   |Asia Ex-Japan
MBIA INSURANCE CORPORATION|FINANCIALS|CORP|357,692 |1 ||   |Americas
THE NEW YORK TIMES COMPANY|CONSUMER SERVICES|CORP|346,154 |1 ||   |Americas
TOYOTA TSUSHO CORPORATION|BASIC MATERIALS|CORP|334,269 |1 |||Japan
HANKYU HANSHIN HOLDINGS,           INC.|CONSUMER SERVICES|CORP|334,269 |1 |8,691,000 |1 |Japan
RENESAS ELECTRONICS           CORPORATION|TECHNOLOGY|CORP|334,269 |1 ||   |Japan
TURKIYE GARANTI BANKASI           A.S.|FINANCIALS|CORP|319,513 |1 |5,890,342 |10 |Europe
DUFRY ONE B.V.|CONSUMER SERVICES|CORP|314,594 |1 |4,214,342 |3 |Europe
BOSTON PROPERTIES LIMITED           PARTNERSHIP|FINANCIALS|CORP|290,000 |1 ||   |Americas
CHUBB INA HOLDINGS INC.|FINANCIALS|CORP|269,231 |1 |7,000,000 |1 |Americas
SOCIETE AIR FRANCE|INDUSTRIALS|CORP|261,436 |1 ||   |Europe
INTEL CORPORATION|TECHNOLOGY|CORP|250,000 |1 ||   |Americas
VORNADO REALTY L.P.|FINANCIALS|CORP|230,769 |1 |3,500,000 |6 |Americas
AETNA INC.|HEALTHCARE|CORP|230,769 |1 |5,400,000 |4 |Americas
HYUNDAI MOTOR COMPANY|CONSUMER GOODS|CORP|223,077 |1 |800,000 |1 |Asia Ex-Japan
SWEDISH MATCH AB|CONSUMER GOODS|CORP|217,863 |1 ||   |Europe
DZ BANK AG DEUTSCHE           ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN           |FINANCIALS|CORP|217,863 |1 ||   |Europe
UCB|HEALTHCARE|CORP|217,863 |1 ||   |Europe
NXP B.V.|TECHNOLOGY|CORP|217,863 |1 ||   |Europe
KINGDOM OF MOROCCO|GOVERNMENT|SOV|209,615 |1 ||   |Europe
CEMEX, SOCIEDAD ANONIMA           BURSATIL DE CAPITAL VARIABLE|INDUSTRIALS|CORP|203,846 |1 ||   |Americas
OVERSEA-CHINESE BANKING           CORPORATION LIMITED|FINANCIALS|CORP|196,154 |1 ||   |Asia Ex-Japan
REPUBLIC OF GHANA|GOVERNMENT|SOV|196,154 |1 |5,000,000 |2 |Europe
ADLER GROUP S.A.|FINANCIALS|CORP|196,077 |1 ||   |Europe
NIKE, INC.|CONSUMER GOODS|CORP|193,077 |1 |1,490,000 |1 |Americas
NEWCREST MINING LIMITED|BASIC MATERIALS|CORP|192,308 |1 |5,000,000 |1 |Australia NZ
AGRICULTURAL BANK OF CHINA           LIMITED|FINANCIALS|CORP|192,308 |1 ||   |Asia Ex-Japan
LOGAN GROUP COMPANY           LIMITED|FINANCIALS|CORP|192,308 |1 ||   |Asia Ex-Japan
PROLOGIS, L.P.|FINANCIALS|CORP|192,308 |1 |5,000,000 |1 |Americas
QATAR NATIONAL BANK           (Q.P.S.C.)|FINANCIALS|CORP|192,308 |1 |5,000,000 |1 |Europe
REPUBLIC OF CROATIA|GOVERNMENT|SOV|192,308 |1 ||   |Europe
CP FOODS CAPITAL LIMITED|CONSUMER GOODS|CORP|192,308 |1 |5,000,000 |4 |Asia Ex-Japan
KWG GROUP HOLDINGS LIMITED|FINANCIALS|CORP|192,308 |1 ||   |Asia Ex-Japan
ALCATEL LUCENT|TECHNOLOGY|CORP|191,719 |1 ||   |Europe
FINANCIERE QUICK|CONSUMER SERVICES|CORP|178,648 |1 |2,265,775 |1 |Europe
DAIWA SECURITIES GROUP           INC.|FINANCIALS|CORP|170,477 |1 ||   |Japan
BANK OF INDIA|FINANCIALS|STATBODY|170,000 |1 ||   |Asia Ex-Japan
MAZDA MOTOR CORPORATION|CONSUMER GOODS|CORP|167,135 |1 |4,345,500 |1 |Japan
ENEOS HOLDINGS, INC.|ENERGY|CORP|167,135 |1 |4,345,500 |1 |Japan
AMERICAN TOWER CORPORATION|FINANCIALS|CORP|135,192 |1 |815,000 |1 |Americas
CAPITALAND GROUP PTE. LTD.|FINANCIALS|CORP|123,077 |1 ||   |Asia Ex-Japan
TIKEHAU CAPITAL|FINANCIALS|CORP|122,003 |1 |3,172,086 |1 |Europe
THE TJX COMPANIES, INC.|CONSUMER SERVICES|CORP|115,385 |1 ||   |Americas
CONSTELLATION BRANDS, INC.|CONSUMER GOODS|CORP|107,500 |1 |1,550,000 |1 |Americas
UNIPOL GRUPPO S.P.A.|FINANCIALS|CORP|91,502 |1 |2,379,064 |1 |Europe
CAIXABANK, S.A.|FINANCIALS|CORP|87,145 |1 ||   |Europe
BRITISH AIRWAYS PLC|INDUSTRIALS|CORP|87,145 |1 |1,132,888 |1 |Europe
SHIKOKU ELECTRIC POWER           COMPANY, INCORPORATED|UTILITIES|CORP|83,567 |1 ||Ja   |Japan
SAFEWAY LIMITED|CONSUMER SERVICES|CORP|82,788 |1 |453,155 |2 |Europe
HUNTSMAN INTERNATIONAL LLC|BASIC MATERIALS|CORP|76,923 |1 |2,000,000 |2 |Americas
MGM GROWTH PROPERTIES           OPERATING PARTNERSHIP LP|CONSUMER SERVICES|CORP|76,923 |1 ||   |Americas
REPUBLIC OF SENEGAL|GOVERNMENT|SOV|76,923 |1 ||   |Europe
SLOVAK REPUBLIC|GOVERNMENT|SOV|76,923 |1 ||   |Europe
SAPPI PAPIER HOLDING GMBH|BASIC MATERIALS|CORP|74,073 |1 ||   |Europe
MITSUBISHI CHEMICAL           HOLDINGS CORPORATION|BASIC MATERIALS|CORP|66,854 |1 ||   |Japan
GECINA|FINANCIALS|CORP|65,359 |1 |1,699,332 |1 |Europe
BELLIS ACQUISITION COMPANY           PLC|CONSUMER SERVICES|CORP|61,002 |1 ||   |Europe
KELLOGG COMPANY|CONSUMER GOODS|CORP|58,462 |1 |1,520,000 |1 |Americas
BANCO COMERCIAL PORTUGUES,           S.A.|FINANCIALS|CORP|53,159 |1 |1,382,123 |3 |Europe
CIGNA HOLDING COMPANY|FINANCIALS|CORP|46,154 |1 ||   |Americas
SBERBANK|FINANCIALS|CORP|46,154 |1 ||   |Europe
SVENSKA CELLULOSA           AKTIEBOLAGET SCA|BASIC MATERIALS|CORP|43,573 |1 ||   |Europe
CONTINENTAL RESOURCES,           INC.|ENERGY|CORP|38,462 |1 |1,000,000 |1 |Americas
AKBANK TURK ANONIM SIRKETI|FINANCIALS|CORP|38,462 |1 ||   |Europe
TRUST F/1401|FINANCIALS|CORP|34,000 |1 |675,000 |8 |Americas
MELIA HOTELS           INTERNATIONAL, S.A.|CONSUMER SERVICES|CORP|14,074 |1 |365,923 |1 |Europe
FELCOR LODGING LIMITED           PARTNERSHIP|FINANCIALS|CORP|4,937 |1 ||   |Americas
BANQUE CENTRALE DE TUNISIE|GOVERNMENT|STATBODY|3,846 |1 ||   |Europe
COVIVIO|FINANCIALS|CORP|1,743 |1 |45,316 |1 |Europe
