Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
DOMINION ENERGY, INC.|UTILITIES|CORP|63,199,700           |10 |244,850,000 |39 |Americas
HOLCIM AG|INDUSTRIALS|CORP|63,065,331           |15 |341,214,446 |101 |Europe
SHELL PLC|ENERGY|CORP|62,361,328           |9 |170,141,123 |47 |Europe
AVIVA PLC|FINANCIALS|CORP|62,176,662           |13 |490,446,193 |104 |Europe
BARRICK GOLD CORPORATION|BASIC MATERIALS|CORP|62,166,315           |11 |156,200,000 |45 |Americas
TALEN ENERGY SUPPLY, LLC|UTILITIES|CORP|62,150,231           |47 |202,035,000 |172 |Americas
THE AES CORPORATION|UTILITIES|CORP|60,677,123           |15 |165,150,000 |82 |Americas
RYDER SYSTEM, INC.|INDUSTRIALS|CORP|60,526,254           |12 |418,311,200 |77 |Americas
BAYER AKTIENGESELLSCHAFT|HEALTHCARE|CORP|60,430,119           |10 |322,106,936 |74 |Europe
CENTRICA PLC|UTILITIES|CORP|60,197,862           |9 |346,066,604 |70 |Europe
CVS HEALTH CORPORATION|CONSUMER SERVICES|CORP|59,674,238           |13 |314,165,000 |67 |Americas
KINGDOM OF THAILAND|GOVERNMENT|SOV|59,045,385           |6 |686,680,000 |61 |Asia Ex-Japan
LUMEN TECHNOLOGIES, INC.|TELECOMMUNICATIONS SERVICES           |CORP|58,940,654           |20 |465,442,000 |173 |Americas
PFIZER INC.|HEALTHCARE|CORP|58,615,785           |10 |286,565,000 |63 |Americas
REPSOL, S.A.|ENERGY|CORP|58,560,447           |9 |266,016,760 |44 |Europe
CONAGRA BRANDS, INC.|CONSUMER GOODS|CORP|58,270,008           |16 |498,550,000 |146 |Americas
PULTEGROUP, INC.|CONSUMER GOODS|CORP|58,101,623           |20 |538,769,000 |193 |Americas
IMPERIAL BRANDS PLC|CONSUMER GOODS|CORP|57,744,985           |12 |483,215,122 |122 |Europe
ENI S.P.A.|ENERGY|CORP|57,539,232           |10 |349,474,225 |76 |Europe
BRISTOL-MYERS SQUIBB           COMPANY|HEALTHCARE|CORP|57,282,700           |11 |227,960,000 |39 |Americas
THE WILLIAMS COMPANIES,           INC.|ENERGY|CORP|57,220,008           |15 |142,160,000 |59 |Americas
CARDINAL HEALTH, INC.|CONSUMER SERVICES|CORP|57,009,354           |12 |264,250,000 |82 |Americas
HCA INC.|HEALTHCARE|CORP|56,282,885           |16 |339,774,000 |166 |Americas
T-MOBILE USA, INC.|TELECOMMUNICATIONS SERVICES           |CORP|55,988,231           |14 |475,654,000 |138 |Americas
OCCIDENTAL PETROLEUM           CORPORATION|ENERGY|CORP|55,793,269           |18 |358,530,000 |120 |Americas
AUSTRALIA AND NEW ZEALAND           BANKING GROUP LIMITED|FINANCIALS|CORP|55,615,085           |7 |62,130,214 |6 |Australia NZ
HOST HOTELS & RESORTS,           L.P.|FINANCIALS|CORP|55,522,969           |14 |168,318,000 |59 |Americas
TENET HEALTHCARE           CORPORATION|HEALTHCARE|CORP|55,414,577           |17 |362,049,000 |177 |Americas
THE DOW CHEMICAL COMPANY|BASIC MATERIALS|CORP|55,259,546           |13 |295,803,000 |121 |Americas
KINDER MORGAN, INC.|ENERGY|CORP|55,128,085           |11 |195,470,000 |42 |Americas
EXPEDIA GROUP, INC.|CONSUMER SERVICES|CORP|54,658,059           |14 |232,722,000 |72 |Americas
DELL INC.|TECHNOLOGY|CORP|54,617,846           |16 |450,066,000 |115 |Americas
DOMTAR CORPORATION|BASIC MATERIALS|CORP|54,408,008           |14 |358,420,000 |103 |Americas
ALLY FINANCIAL INC.|FINANCIALS|CORP|54,171,315           |21 |273,602,000 |117 |Americas
ACCOR|CONSUMER SERVICES|CORP|53,922,230           |14 |260,469,008 |79 |Europe
UKRAINE|GOVERNMENT|SOV|53,668,462           |18 |339,040,000 |147 |Europe
SIEMENS AKTIENGESELLSCHAFT|HEALTHCARE|CORP|53,464,369           |7 |240,900,639 |52 |Europe
