Reference EntityAIR PRODUCTS AND CHEMICALS, INC.|SectorBASIC MATERIALS|Market TypeCORP|Average Weekly Notional (USD EQ)                                          161,538 |Average Number of Trades/Week                                                  1 |Notional traded in prior 8 Weeks                                               -    |Contracts traded in prior 8 Weeks                                                 -    |DC Region  Americas  
DXC TECHNOLOGY COMPANY|TECHNOLOGY|CORP|                                    36,083,038 |                                                 9 |                               266,474,000 |                                                74 |  Americas  
EQUINIX, INC.|TECHNOLOGY|CORP|                                      4,749,712 |                                                 3 |                                   2,000,000 |                                                  3 |  Americas  
FUJITSU LIMITED|TECHNOLOGY|CORP|                                      5,665,982 |                                                 2 |                                 29,752,180 |                                                10 |  Japan  
HP INC.|TECHNOLOGY|CORP|                                    81,336,960 |                                               17 |                               250,370,000 |                                                58 |  Americas  
INTERNATIONAL BUSINESS MACHINES CORPORATION|TECHNOLOGY|CORP|                                    93,403,042 |                                               14 |                               852,748,648 |                                              176 |  Americas  
LEXMARK INTERNATIONAL, INC.|TECHNOLOGY|CORP|                                         589,731 |                                                 1 |                                   5,111,000 |                                                  1 |  Americas  
LG ELECTRONICS|CONSUMER GOODS|CORP|                                         192,308 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
MICROSOFT CORPORATION|TECHNOLOGY|CORP|                                         769,231 |                                                 1 |                                   5,000,000 |                                                  1 |  Americas  
MOTOROLA SOLUTIONS, INC.|TECHNOLOGY|CORP|                                    46,908,114 |                                                 8 |                                 79,300,000 |                                                38 |  Americas  
NEC CORPORATION|TECHNOLOGY|CORP|                                      7,976,255 |                                                 2 |                                 42,298,280 |                                                15 |  Japan  
NOKIA OF AMERICA CORPORATION|TECHNOLOGY|CORP|                                         461,538 |                                                 1 |                                              -    |                                                -    |  Americas  
NOKIA OYJ|TECHNOLOGY|CORP|                                    23,000,329 |                                                 6 |                               138,358,453 |                                                39 |  Europe  
NXP B.V.|TECHNOLOGY|CORP|                                      2,507,039 |                                                 2 |                                   6,879,977 |                                                  8 |  Europe  
NXP USA, INC.|TECHNOLOGY|CORP|                                         480,769 |                                                 1 |                                              -    |                                                -    |  Americas  
PITNEY BOWES INC.|TECHNOLOGY|CORP|                                    89,252,305 |                                               30 |                               740,101,918 |                                              290 |  Americas  
RAKUTEN, INC.|TECHNOLOGY|CORP|                                    25,037,052 |                                                 4 |                               205,307,965 |                                                22 |  Japan  
RICOH COMPANY, LTD.|TECHNOLOGY|CORP|                                      6,578,086 |                                                 2 |                                 26,705,270 |                                                10 |  Japan  
SAMSUNG ELECTRONICS CO., LTD.|TECHNOLOGY|CORP|                                      5,511,538 |                                                 1 |                                 28,100,000 |                                                  6 |  Asia Ex-Japan  
STMICROELECTRONICS N.V.|TECHNOLOGY|CORP|                                    15,342,103 |                                                 3 |                               121,438,644 |                                                22 |  Europe  
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                    33,798,057 |                                                 8 |                                 97,933,854 |                                                26 |  Europe  
TENCENT HOLDINGS LIMITED|TECHNOLOGY|CORP|                                    21,295,115 |                                                 7 |                                 80,000,000 |                                                  8 |  Asia Ex-Japan  
UNISYS CORPORATION|TECHNOLOGY|CORP|                                    27,263,231 |                                               14 |                               249,454,000 |                                              152 |  Americas  
XEROX CORPORATION|TECHNOLOGY|CORP|                                  102,386,689 |                                               27 |                               481,781,000 |                                              113 |  Americas  
ALTICE FINCO S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                    33,308,940 |                                               17 |                               269,541,853 |                                              171 |  Europe  
ALTICE LUXEMBOURG S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                    18,202,902 |                                               13 |                               206,041,007 |                                              186 |  Europe  
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|TELECOMMUNICATIONS SERVICES|CORP|                                      6,014,692 |                                                 2 |                                 54,983,000 |                                                16 |  Americas  
AT&T CORP.|TELECOMMUNICATIONS SERVICES|CORP|                                         384,615 |                                                 1 |                                 10,000,000 |                                                  1 |  Americas  
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  312,111,529 |                                               47 |                             2,047,490,551 |                                              449 |  Americas  
AT&T MOBILITY LLC|TELECOMMUNICATIONS SERVICES|CORP|                                         153,846 |                                                 1 |                                              -    |                                                -    |  Americas  
BELLSOUTH, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                         192,308 |                                                 1 |                                              -    |                                                -    |  Americas  
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                    93,332,631 |                                               21 |                               492,631,583 |                                              131 |  Europe  
CABLE & WIRELESS LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                      2,138,182 |                                                 1 |                                 16,382,771 |                                                  9 |  Europe  
CENTURYLINK, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                    91,300,221 |                                               27 |                               728,063,000 |                                              206 |  Americas  
DEUTSCHE TELEKOM AG|TELECOMMUNICATIONS SERVICES|CORP|                                    64,012,679 |                                               10 |                               493,351,084 |                                                65 |  Europe  
FRONTIER COMMUNICATIONS CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                    72,833,929 |                                               34 |                               496,158,936 |                                              239 |  Americas  
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|TELECOMMUNICATIONS SERVICES|CORP|                                      8,912,044 |                                                 3 |                                 53,564,065 |                                                16 |  Europe  
KONINKLIJKE KPN N.V.|TELECOMMUNICATIONS SERVICES|CORP|                                    33,639,798 |                                                 8 |                               301,089,138 |                                                81 |  Europe  
KT CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                    32,248,077 |                                                 4 |                               252,200,000 |                                                38 |  Asia Ex-Japan  
LEVEL 3 PARENT, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                         961,538 |                                                 1 |                                              -    |                                                -    |  Americas  
MATTERHORN TELECOM HOLDING S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      8,584,826 |                                                 3 |                                 43,723,554 |                                                12 |  Europe  
NEW CINGULAR WIRELESS SERVICES, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                         961,538 |                                                 1 |                                              -    |                                                -    |  Americas  
ORANGE|TELECOMMUNICATIONS SERVICES|CORP|                                    36,306,452 |                                                 8 |                               246,484,861 |                                                69 |  Europe  
PCCW-HKT TELEPHONE LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                      3,376,923 |                                                 1 |                                   4,700,000 |                                                  1 |  Asia Ex-Japan  
PLAY FINANCE 1 S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                         780,331 |                                                 1 |                                   2,061,408 |                                                  3 |  Europe  
QWEST CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                         282,308 |                                                 1 |                                              -    |                                                -    |  Americas  
SES|TELECOMMUNICATIONS SERVICES|CORP|                                    17,120,121 |                                                 4 |                               114,272,538 |                                                26 |  Europe  
SINGAPORE TELECOMMUNICATIONS LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                    18,496,154 |                                                 3 |                               203,000,000 |                                                27 |  Asia Ex-Japan  
SK TELECOM CO., LTD.|TELECOMMUNICATIONS SERVICES|CORP|                                    12,003,846 |                                                 2 |                                   6,900,000 |                                                  1 |  Asia Ex-Japan  
SOFTBANK GROUP CORP.|TELECOMMUNICATIONS SERVICES|CORP|                                  168,429,407 |                                               37 |                               826,482,265 |                                              176 |  Japan  
SPRINT COMMUNICATIONS, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                    55,865,250 |                                               18 |                               407,976,376 |                                              162 |  Americas  
SUNRISE COMMUNICATIONS HOLDINGS S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      7,174,452 |                                                 3 |                                 30,704,133 |                                                17 |  Europe  
T-MOBILE USA, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                    63,230,577 |                                                 9 |                               120,135,000 |                                                53 |  Americas  
TDC A/S|TELECOMMUNICATIONS SERVICES|CORP|                                    15,849,829 |                                                 4 |                                 96,000,215 |                                                26 |  Europe  
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                  173,288,595 |                                               44 |                               870,032,635 |                                              333 |  Europe  
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                  147,904,442 |                                               24 |                             1,076,118,209 |                                              244 |  Europe  
TELEKOM AUSTRIA AKTIENGESELLSCHAFT|TELECOMMUNICATIONS SERVICES|CORP|                                    25,133,532 |                                                 4 |                                 44,862,753 |                                                18 |  Europe  
TELEKOM MALAYSIA BERHAD|TELECOMMUNICATIONS SERVICES|CORP|                                    13,079,808 |                                                 2 |                                 60,625,000 |                                                  9 |  Asia Ex-Japan  
TELENOR ASA|TELECOMMUNICATIONS SERVICES|CORP|                                    11,896,078 |                                                 4 |                                 45,687,316 |                                                23 |  Europe  
TELIA COMPANY AB|TELECOMMUNICATIONS SERVICES|CORP|                                    15,059,130 |                                                 3 |                               166,171,202 |                                                31 |  Europe  
TELSTRA CORPORATION LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                      1,269,231 |                                                 1 |                                              -    |                                                -    |  Australia NZ  
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  114,667,216 |                                               17 |                               898,103,000 |                                              111 |  Americas  
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES|CORP|                                    43,401,434 |                                               18 |                               307,077,872 |                                              244 |  Europe  
VIVENDI|CONSUMER SERVICES|CORP|                                    34,854,491 |                                                 6 |                               109,986,979 |                                                43 |  Europe  
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                    99,560,468 |                                               15 |                               526,749,978 |                                                88 |  Europe  
WIND ACQUISITION FINANCE S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      2,444,146 |                                                 1 |                                 32,548,551 |                                                12 |  Europe  
WIND TRE S.P.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      7,153,229 |                                                 3 |                                   9,005,099 |                                                  6 |  Europe  
ABU DHABI NATIONAL ENERGY COMPANY|UTILITIES|CORP|                                         798,077 |                                                 1 |                                 10,750,000 |                                                  2 |  Europe  
AMERICAN ELECTRIC POWER COMPANY, INC.|UTILITIES|CORP|                                    19,316,539 |                                                 4 |                                 37,060,000 |                                                16 |  Americas  
AUSNET SERVICES HOLDINGS PTY LTD|UTILITIES|CORP|                                         846,154 |                                                 1 |                                 10,000,000 |                                                  2 |  Australia NZ  
CALPINE CORPORATION|UTILITIES|CORP|                                    27,765,327 |                                               10 |                               215,350,000 |                                                80 |  Americas  
CENTERPOINT ENERGY, INC.|UTILITIES|CORP|                                      3,269,231 |                                                 1 |                                 25,000,000 |                                                  2 |  Americas  
CENTRICA PLC|UTILITIES|CORP|                                    82,905,965 |                                               15 |                               486,506,901 |                                                91 |  Europe  
CHUBU ELECTRIC POWER COMPANY, INCORPORATED|UTILITIES|CORP|                                         955,753 |                                                 1 |                                              -    |                                                -    |  Japan  
CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.|UTILITIES|CORP|                                      1,923,077 |                                                 1 |                                              -    |                                                -    |  Americas  
DOMINION ENERGY, INC.|UTILITIES|CORP|                                    22,437,101 |                                                 4 |                                 93,560,000 |                                                11 |  Americas  
DUKE ENERGY CAROLINAS, LLC|UTILITIES|CORP|                                    12,852,870 |                                                 4 |                                 14,560,000 |                                                  9 |  Americas  
E.ON SE|UTILITIES|CORP|                                    37,960,791 |                                                 6 |                               403,309,095 |                                                70 |  Europe  
EDISON S.P.A.|UTILITIES|CORP|                                           20,447 |                                                 1 |                                      531,626 |                                                  1 |  Europe  
EDP - ENERGIAS DE PORTUGAL, S.A.|UTILITIES|CORP|                                    16,257,584 |                                                 2 |                               103,504,392 |                                                14 |  Europe  
EDP FINANCE B.V.|UTILITIES|CORP|                                    12,992,923 |                                                 6 |                               119,111,422 |                                                29 |  Europe  
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                  135,879,738 |                                               17 |                             1,076,234,724 |                                              164 |  Europe  
ENBW ENERGIE BADEN-WUERTTEMBERG AG|UTILITIES|CORP|                                    10,138,456 |                                                 3 |                                 48,670,933 |                                                29 |  Europe  
ENDESA, S.A.|UTILITIES|CORP|                                         377,647 |                                                 1 |                                      271,238 |                                                  1 |  Europe  
ENEL S.P.A.|UTILITIES|CORP|                                    95,198,959 |                                               19 |                               439,404,392 |                                                87 |  Europe  
ENGIE|UTILITIES|CORP|                                    53,179,868 |                                                 6 |                               659,205,803 |                                                80 |  Europe  
ESKOM HOLDINGS SOC LIMITED|UTILITIES|CORP|                                    17,652,385 |                                                 5 |                               124,052,000 |                                                38 |  Europe  
EXELON CORPORATION|UTILITIES|CORP|                                    14,018,062 |                                                 4 |                                 19,699,000 |                                                14 |  Americas  
EXELON GENERATION COMPANY, LLC|UTILITIES|CORP|                                      3,584,615 |                                                 2 |                                   9,200,000 |                                                  3 |  Americas  
FCC AQUALIA, S.A.|UTILITIES|CORP|                                      2,971,099 |                                                 1 |                                 15,406,314 |                                                  7 |  Europe  
FIRSTENERGY CORP.|UTILITIES|CORP|                                    27,317,985 |                                                 6 |                                 65,520,000 |                                                24 |  Americas  
FORTUM OYJ|UTILITIES|CORP|                                    27,816,075 |                                                 5 |                               302,018,005 |                                                35 |  Europe  
IBERDROLA, S.A.|UTILITIES|CORP|                                    64,103,582 |                                                 7 |                               245,535,419 |                                                48 |  Europe  
INNOGY SE|UTILITIES|CORP|                                    23,356,303 |                                                 5 |                               188,608,004 |                                                44 |  Europe  
NATIONAL GRID PLC|UTILITIES|CORP|                                    32,103,095 |                                                 6 |                               124,975,586 |                                                23 |  Europe  
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|                                    50,795,519 |                                                 9 |                               118,590,646 |                                                47 |  Europe  
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|UTILITIES|CORP|                                      8,076,923 |                                                 1 |                                              -    |                                                -    |  Americas  
NRG ENERGY, INC.|UTILITIES|CORP|                                    29,302,692 |                                                 9 |                               135,160,000 |                                                64 |  Americas  
PSEG POWER LLC|UTILITIES|CORP|                                         576,923 |                                                 1 |                                 15,000,000 |                                                  2 |  Americas  
PUBLIC POWER CORPORATION FINANCE PLC|UTILITIES|CORP|                                      1,272,732 |                                                 1 |                                   3,254,855 |                                                  2 |  Europe  
SEMPRA ENERGY|UTILITIES|CORP|                                    23,349,024 |                                                 5 |                                 45,060,000 |                                                11 |  Americas  
SSE PLC|UTILITIES|CORP|                                    29,280,343 |                                                 6 |                               133,123,574 |                                                28 |  Europe  
TALEN ENERGY SUPPLY, LLC|UTILITIES|CORP|                                    15,176,096 |                                               12 |                               123,450,000 |                                                79 |  Americas  
TENAGA NASIONAL BERHAD|UTILITIES|CORP|                                         769,231 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
THE AES CORPORATION|UTILITIES|CORP|                                    21,504,635 |                                               11 |                               197,381,000 |                                                99 |  Americas  
THE ISRAEL ELECTRIC CORPORATION LTD.|UTILITIES|CORP|                                      9,169,615 |                                                 1 |                                 40,000,000 |                                                  9 |  Europe  
THE KANSAI ELECTRIC POWER COMPANY, INCORPORATED|UTILITIES|CORP|                                      1,021,956 |                                                 1 |                                              -    |                                                -    |  Japan  
THE SOUTHERN COMPANY|UTILITIES|CORP|                                      3,126,154 |                                                 1 |                                   6,060,000 |                                                  6 |  Americas  
TOKYO ELECTRIC POWER COMPANY HOLDINGS, INCORPORATED|UTILITIES|CORP|                                      7,489,746 |                                                 2 |                                   2,240,375 |                                                  1 |  Japan  
