Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                                       3,431,707,361 |Average Number of Trades/Week                                                                    420 |Notional traded in prior 8 Weeks                                        26,304,137,136 |Contracts traded in prior 8 Weeks                                                                 3,445 |DC Region Americas           
CNA FINANCIAL CORPORATION|FINANCIALS|CORP|                                                             1,003,077 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
CAIXABANK, S.A.|FINANCIALS|CORP|                                                               996,714 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
CABLE & WIRELESS WORLDWIDE LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                                               982,301 |                                                                       1 |                                             25,539,820           |                                                                      1 | Europe           |
OCCIDENTAL PETROLEUM CORPORATION|ENERGY|CORP|                                                               976,923 |                                                                       1 |                                                           400,000 |                                                                      2 | Americas           |
VENTAS REALTY, LIMITED PARTNERSHIP|FINANCIALS|CORP|                                                               961,538 |                                                                       1 |                                             25,000,000           |                                                                      2 | Americas           |
REPUBLIC OF SERBIA|GOVERNMENT|SOV|                                                               961,538 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
UNITED GROUP B.V.|CONSUMER SERVICES|CORP|                                                               955,511 |                                                                       1 |                                                         5,723,241 |                                                                      8 | Europe           |
CRITERIA CAIXA, S.A., SOCIEDAD           UNIPERSONAL|FINANCIALS|CORP|                                                               937,651 |                                                                       1 |                                                         1,160,901 |                                                                      1 | Europe           |
BANCO BRADESCO S.A.|FINANCIALS|CORP|                                                               923,077 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
REPUBLIC OF SENEGAL|GOVERNMENT|SOV|                                                               923,077 |                                                                       1 |                                                         6,000,000 |                                                                      1 | Europe           |
THE NEW JERSEY TRANSPORTATION TRUST FUND           AUTHORITY|GOVERNMENT|MUNI|                                                               906,154 |                                                                       1 |                                                         3,560,000 |                                                                      3 | Americas           |
BASF PERSONAL CARE AND NUTRITION GMBH|BASIC MATERIALS|CORP|                                                               881,760 |                                                                       1 |                                                         8,706,757 |                                                                      2 | Europe           |
FCC AQUALIA, S.A.|UTILITIES|CORP|                                                               852,816 |                                                                       1 |                                             13,930,811           |                                                                      5 | Europe           |
SWEDISH MATCH AB|CONSUMER GOODS|CORP|                                                               849,913 |                                                                       1 |                                                         1,741,351 |                                                                      1 | Europe           |
DEXIA CREDIT LOCAL|FINANCIALS|CORP|                                                               848,351 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
ANTHEM, INC.|HEALTHCARE|CORP|                                                               846,154 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
CYTEC INDUSTRIES INC.|BASIC MATERIALS|CORP|                                                               843,077 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
NEXTEL COMMUNICATIONS, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                               833,231 |                                                                       1 |                                             21,664,000           |                                                                      2 | Americas           |
CHUBU ELECTRIC POWER COMPANY,           INCORPORATED|UTILITIES|CORP|                                                               825,080 |                                                                       1 |                                                                    -   |                                                                     -   | Japan           |
SEIKO EPSON CORPORATION|TECHNOLOGY|CORP|                                                               819,329 |                                                                       1 |                                                                    -   |                                                                     -   | Japan           |
INTERVAL ACQUISITION CORP.|CONSUMER SERVICES|CORP|                                                               810,000 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
ASHLAND LLC|BASIC MATERIALS|CORP|                                                               807,692 |                                                                       1 |                                             21,000,000           |                                                                      1 | Americas           |
AURIZON NETWORK PTY LTD|INDUSTRIALS|CORP|                                                               788,462 |                                                                       1 |                                                         6,000,000 |                                                                      1 | Australia NZ           |
WEATHERFORD INTERNATIONAL, LLC|ENERGY|CORP|                                                               780,869 |                                                                       1 |                                             12,500,000           |                                                                    10 | Americas           |
STATE OF CONNECTICUT|GOVERNMENT|MUNI|                                                               771,731 |                                                                       1 |                                             12,665,000           |                                                                    10 | Americas           |
AMERISOURCEBERGEN CORPORATION|CONSUMER SERVICES|CORP|                                                               769,231 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
EOG RESOURCES, INC.|ENERGY|CORP|                                                               769,231 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
VEON HOLDINGS B.V.|TELECOMMUNICATIONS SERVICES|CORP|                                                               769,231 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
ROHM AND HAAS COMPANY|BASIC MATERIALS|CORP|                                                               766,154 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
TELUS CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                                               765,385 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
LEGAL & GENERAL GROUP PLC|FINANCIALS|CORP|                                                               759,051 |                                                                       1 |                                             11,609,009           |                                                                      1 | Europe           |
ABERTIS INFRAESTRUCTURAS, S.A.|INDUSTRIALS|CORP|                                                               759,051 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
COMMONWEALTH OF PENNSYLVANIA|GOVERNMENT|MUNI|                                                               739,231 |                                                                       1 |                                             19,220,000           |                                                                    10 | Americas           |
CAIXA GERAL DE DEPOSITOS S.A.|FINANCIALS|CORP|                                                               727,438 |                                                                       1 |                                                         1,741,351 |                                                                      2 | Europe           |
NEW ZEALAND|GOVERNMENT|SOV|                                                               723,808 |                                                                       1 |                                                                    -   |                                                                     -   | Australia NZ           |
NXP USA, INC.|TECHNOLOGY|CORP|                                                               719,615 |                                                                       1 |                                                         1,100,000 |                                                                      1 | Americas           |
GATX CORPORATION|FINANCIALS|CORP|                                                               707,308 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
THE INTERPUBLIC GROUP OF COMPANIES, INC.|CONSUMER SERVICES|CORP|                                                               699,231 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
FRONERI INTERNATIONAL PLC|CONSUMER GOODS|CORP|                                                               693,552 |                                                                       1 |                                                         3,521,099 |                                                                      2 | Europe           |
JX HOLDINGS, INC.|ENERGY|CORP|                                                               692,285 |                                                                       1 |                                                                    -   |                                                                     -   | Japan           |
CANON INC.|TECHNOLOGY|CORP|                                                               692,285 |                                                                       1 |                                                                    -   |                                                                     -   | Japan           |
THE SERVICEMASTER COMPANY, LLC|CONSUMER SERVICES|CORP|                                                               681,077 |                                                                       1 |                                             15,708,000           |                                                                      1 | Americas           |
DEUTSCHE BAHN AKTIENGESELLSCHAFT|CONSUMER SERVICES|CORP|                                                               625,100 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
SMITHS GROUP PLC|INDUSTRIALS|CORP|                                                               620,635 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
SMITHFIELD FOODS, INC.|CONSUMER GOODS|CORP|                                                               620,000 |                                                                       1 |                                             11,000,000           |                                                                      1 | Americas           |
BRUNSWICK CORPORATION|CONSUMER GOODS|CORP|                                                               616,538 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
REPUBLIC SERVICES, INC.|INDUSTRIALS|CORP|                                                               613,846 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
ROYAL BANK OF CANADA|FINANCIALS|STATBODY|                                                               603,846 |                                                                       1 |                                             15,700,000           |                                                                      4 | Americas           |
MOHAWK INDUSTRIES, INC.|CONSUMER GOODS|CORP|                                                               596,154 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
ELI LILLY AND COMPANY|HEALTHCARE|CORP|                                                               596,154 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
BOEING CAPITAL CORPORATION|FINANCIALS|CORP|                                                               589,231 |                                                                       1 |                                                         4,300,000 |                                                                      2 | Americas           |
OFFICE DEPOT, INC.|CONSUMER SERVICES|CORP|                                                               580,769 |                                                                       1 |                                                         3,500,000 |                                                                      1 | Americas           |
COMMERCIAL METALS COMPANY|BASIC MATERIALS|CORP|                                                               576,923 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
SASOL LTD|ENERGY|CORP|                                                               576,923 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
FAIRFAX FINANCIAL HOLDINGS LIMITED|FINANCIALS|CORP|                                                               576,923 |                                                                       1 |                                             15,000,000           |                                                                      1 | Americas           |
"PUBLIC JOINT STOCK COMPANY           ""VIMPEL-COMMUNICATIONS"""|TELECOMMUNICATIONS SERVICES|CORP|                                                               576,923 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
SWISS CONFEDERATION|GOVERNMENT|SOV|                                                               576,923 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
NISOURCE FINANCE CORP.|UTILITIES|CORP|                                                               573,846 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
REPUBLIC OF SLOVENIA|GOVERNMENT|SOV|                                                               560,873 |                                                                       1 |                                                         8,482,703 |                                                                      2 | Europe           |
LI & FUNG LIMITED|CONSUMER GOODS|CORP|                                                               546,154 |                                                                       1 |                                                                    -   |                                                                     -   | Asia Ex-Japan           |
CEMEX, SOCIEDAD ANONIMA BURSATIL DE           CAPITAL VARIABLE|INDUSTRIALS|CORP|                                                               538,462 |                                                                       1 |                                                         6,050,000 |                                                                      9 | Americas           |
PLAINS ALL AMERICAN PIPELINE, L.P.|ENERGY|CORP|                                                               536,154 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
LAGARDERE SCA|CONSUMER SERVICES|CORP|                                                               535,800 |                                                                       1 |                                             13,930,811           |                                                                      1 | Europe           |
BRUSH HOLDINGS LIMITED|INDUSTRIALS|CORP|                                                               535,800 |                                                                       1 |                                             13,930,811           |                                                                      2 | Europe           |
CONSTELLATION BRANDS, INC.|CONSUMER GOODS|CORP|                                                               512,423 |                                                                       1 |                                                         6,323,000 |                                                                      3 | Americas           |
CHEVRON CORPORATION|ENERGY|CORP|                                                               511,538 |                                                                       1 |                                             13,300,000           |                                                                      6 | Americas           |
HYUNDAI CAPITAL SERVICES, INC.|FINANCIALS|CORP|                                                               503,846 |                                                                       1 |                                                                    -   |                                                                     -   | Asia Ex-Japan           |
FIS DATA SYSTEMS INC.|TECHNOLOGY|CORP|                                                               500,000 |                                                                       1 |                                                         5,800,000 |                                                                      1 | Americas           |
CORPORACION NACIONAL DEL COBRE DE CHILE|BASIC MATERIALS|STATBODY|                                                               500,000 |                                                                       1 |                                                         8,000,000 |                                                                      2 | Americas           |
ALLTEL CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                                               497,692 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
QWEST CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                                               494,231 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
OI EUROPEAN GROUP B.V.|INDUSTRIALS|CORP|                                                               491,150 |                                                                       1 |                                                         2,321,802 |                                                                      1 | Europe           |
EILEME 2 AB (PUBL)|TELECOMMUNICATIONS SERVICES|CORP|                                                               491,150 |                                                                       1 |                                             12,769,910           |                                                                      3 | Europe           |
REXAM LIMITED|INDUSTRIALS|CORP|                                                               482,220 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
HASBRO, INC.|CONSUMER GOODS|CORP|                                                               480,769 |                                                                       1 |                                                         8,000,000 |                                                                      1 | Americas           |
BANKIA, S.A.|FINANCIALS|CORP|                                                               468,825 |                                                                       1 |                                                         6,384,955 |                                                                      2 | Europe           |
TVN FINANCE CORPORATION III AB (PUBL)|CONSUMER SERVICES|CORP|                                                               464,360 |                                                                       1 |                                             12,073,369           |                                                                      1 | Europe           |
COLGATE-PALMOLIVE COMPANY|CONSUMER GOODS|CORP|                                                               461,538 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
INVENSYS LIMITED|INDUSTRIALS|CORP|                                                               460,208 |                                                                       1 |                                                         6,965,405 |                                                                      1 | Europe           |
PICARD BONDCO S.A.|CONSUMER GOODS|CORP|                                                               457,663 |                                                                       1 |                                                         2,321,802 |                                                                      1 | Europe           |
REPUBLIC OF ESTONIA|GOVERNMENT|SOV|                                                               446,500 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
STATE OF MICHIGAN|GOVERNMENT|MUNI|                                                               432,308 |                                                                       1 |                                             11,240,000           |                                                                      3 | Americas           |
SUZUKI MOTOR CORPORATION|CONSUMER GOODS|CORP|                                                               426,252 |                                                                       1 |                                                                    -   |                                                                     -   | Japan           |
JETBLUE AIRWAYS CORPORATION|INDUSTRIALS|CORP|                                                               423,077 |                                                                       1 |                                                         4,000,000 |                                                                      3 | Americas           |
REPUBLIC OF KENYA|GOVERNMENT|SOV|                                                               423,077 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
