Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                          1,665,603,708 |Average Number of Trades/Week                                                      178 |Notional traded in prior 8 Weeks                                    7,115,922,000 |Contracts traded in prior 8 Weeks                                                       786 |DC RegionAmericas
CAPITAL ONE FINANCIAL CORPORATION|FINANCIALS|CORP|                                               2,919,231 |                                                         1 |                                        22,200,000 |                                                         6 |Americas
CHINA OVERSEAS LAND & INVESTMENT           LIMITED|FINANCIALS|CORP|                                               2,715,385 |                                                         1 |                                        10,600,000 |                                                         3 |Asia Ex-Japan
NOVARTIS AG|HEALTHCARE|CORP|                                               2,700,951 |                                                         1 |                                        11,704,120 |                                                         1 |Europe
NATIONAL BANK OF CANADA|FINANCIALS|CORP|                                               2,692,308 |                                                         1 |                                                      -   |                                                        -   |Americas
TOYOTA MOTOR CREDIT CORPORATION|FINANCIALS|CORP|                                               2,692,308 |                                                         1 |                                                      -   |                                                        -   |Japan
NIPPON TELEGRAPH AND TELEPHONE           CORPORATION|TELECOMMUNICATIONS SERVICES|STATBODY|                                               2,627,250 |                                                         1 |                                                      -   |                                                        -   |Japan
MALAYAN BANKING BERHAD|FINANCIALS|CORP|                                               2,615,385 |                                                         1 |                                          4,000,000 |                                                         1 |Asia Ex-Japan
GENERALITAT DE CATALUNYA|GOVERNMENT|STATE|                                               2,598,315 |                                                         1 |                                        17,556,180 |                                                         2 |Europe
NOMURA SECURITIES CO., LTD.|FINANCIALS|CORP|                                               2,592,220 |                                                         1 |                                        20,037,160 |                                                         3 |Japan
KOOKMIN BANK|FINANCIALS|CORP|                                               2,580,769 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
WESFARMERS LIMITED|CONSUMER SERVICES|CORP|                                               2,548,077 |                                                         1 |                                                      -   |                                                        -   |Australia NZ
21VIANET GROUP, INC.|TECHNOLOGY|CORP|                                               2,500,000 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
CAPITALAND LIMITED|FINANCIALS|CORP|                                               2,480,769 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
QBE INSURANCE GROUP LIMITED|FINANCIALS|CORP|                                               2,465,385 |                                                         1 |                                        27,800,000 |                                                         3 |Australia NZ
ROMANIA|GOVERNMENT|SOV|                                               2,426,923 |                                                         1 |                                        15,000,000 |                                                         4 |Europe
FCC AQUALIA, S.A.|UTILITIES|CORP|                                               2,205,776 |                                                         1 |                                        18,726,592 |                                                         4 |Europe
HUNGARY|GOVERNMENT|SOV|                                               2,167,308 |                                                         1 |                                          6,350,000 |                                                         7 |Europe
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                               2,165,262 |                                                         1 |                                        38,272,472 |                                                        16 |Europe
KINGDOM OF NORWAY|GOVERNMENT|SOV|                                               2,115,385 |                                                         1 |                                        20,000,000 |                                                         2 |Europe
STATE OF ILLINOIS|GOVERNMENT|MUNI|                                               2,092,308 |                                                         1 |                                                      -   |                                                        -   |Americas
FIRST DATA CORPORATION|TECHNOLOGY|CORP|                                               2,057,692 |                                                         1 |                                        27,000,000 |                                                         5 |Americas
KOREA ELECTRIC POWER CORPORATION|UTILITIES|STATBODY|                                               2,057,692 |                                                         1 |                                        10,000,000 |                                                         2 |Asia Ex-Japan
BROOKFIELD ASSET MANAGEMENT INC.|FINANCIALS|CORP|                                               2,034,615 |                                                         1 |                                                      -   |                                                        -   |Americas
WOOLWORTHS GROUP LIMITED|CONSUMER SERVICES|CORP|                                               1,982,692 |                                                         1 |                                                      -   |                                                        -   |Australia NZ
PEPSICO, INC.|CONSUMER GOODS|CORP|                                               1,980,769 |                                                         1 |                                        32,500,000 |                                                         7 |Americas
NUCOR CORPORATION|BASIC MATERIALS|CORP|                                               1,961,538 |                                                         1 |                                          1,000,000 |                                                         1 |Americas
EQT CORPORATION|ENERGY|CORP|                                               1,923,077 |                                                         1 |                                        50,000,000 |                                                         3 |Americas
SINGAPORE AIRLINES LIMITED|INDUSTRIALS|CORP|                                               1,923,077 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
REPUBLIC OF GHANA|GOVERNMENT|SOV|                                               1,919,231 |                                                         2 |                                        39,900,000 |                                                        40 |Europe
COOPER TIRE & RUBBER COMPANY|CONSUMER GOODS|CORP|                                               1,848,077 |                                                         1 |                                          1,500,000 |                                                         2 |Americas
AUTONOMOUS REGION OF SARDINIA|GOVERNMENT|STATE|                                               1,804,542 |                                                         1 |                                        46,918,088 |                                                        28 |Europe
MARATHON OIL CORPORATION|ENERGY|CORP|                                               1,803,846 |                                                         1 |                                        15,600,000 |                                                         3 |Americas
THE ISRAEL ELECTRIC CORPORATION LTD.|UTILITIES|CORP|                                               1,780,769 |                                                         1 |                                          1,300,000 |                                                         1 |Europe
MATTEL, INC.|CONSUMER GOODS|CORP|                                               1,776,923 |                                                         1 |                                        17,000,000 |                                                         8 |Americas
KINGDOM OF DENMARK|GOVERNMENT|SOV|                                               1,776,602 |                                                         1 |                                        20,000,000 |                                                         2 |Europe
PG&E CORPORATION|UTILITIES|CORP|                                               1,730,769 |                                                         1 |                                          8,500,000 |                                                         5 |Americas
"PUBLIC JOINT STOCK COMPANY           ""VIMPEL-COMMUNICATIONS"""|TELECOMMUNICATIONS SERVICES|CORP|                                               1,730,769 |                                                         1 |                                                      -   |                                                        -   |Europe
CHINA MINMETALS CORPORATION|BASIC MATERIALS|CORP|                                               1,715,385 |                                                         1 |                                        10,000,000 |                                                         2 |Asia Ex-Japan
BANCO BPM SOCIETA' PER AZIONI|FINANCIALS|CORP|                                               1,701,065 |                                                         1 |                                          9,363,296 |                                                         2 |Europe
MBIA INSURANCE CORPORATION|FINANCIALS|CORP|                                               1,670,308 |                                                         1 |                                          5,475,000 |                                                         3 |Americas
MGM GROWTH PROPERTIES OPERATING           PARTNERSHIP LP|CONSUMER SERVICES|CORP|                                               1,625,000 |                                                         1 |                                   750,000 |                                                         1 |Americas
TK ELEVATOR HOLDCO GMBH|INDUSTRIALS|CORP|                                               1,582,307 |                                                         1 |                                          5,512,641 |                                                         5 |Europe
SCHAEFFLER FINANCE B.V.|CONSUMER GOODS|CORP|                                               1,544,044 |                                                         1 |                                          7,607,678 |                                                         2 |Europe
INTERNATIONAL CONSOLIDATED AIRLINES           GROUP, S.A.|INDUSTRIALS|CORP|                                               1,440,507 |                                                         1 |                                        35,112,360 |                                                         5 |Europe
REPUBLIC OF FINLAND|GOVERNMENT|SOV|                                               1,423,077 |                                                         1 |                                                      -   |                                                        -   |Europe
NORBORD INC.|BASIC MATERIALS|CORP|                                               1,391,731 |                                                         1 |                                          2,000,000 |                                                         1 |Americas
DNB BANK ASA|FINANCIALS|CORP|                                               1,372,983 |                                                         1 |                                                      -   |                                                        -   |Europe
BANCO DE SABADELL, S.A.|FINANCIALS|CORP|                                               1,300,218 |                                                         1 |                                   362,828 |                                                         1 |Europe
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|HEALTHCARE|CORP|                                               1,216,645 |                                                         1 |                                          3,511,236 |                                                         1 |Europe
SANMINA CORPORATION|INDUSTRIALS|CORP|                                               1,196,154 |                                                         2 |                                        13,050,000 |                                                         5 |Americas
UNILEVER N.V.|CONSUMER GOODS|CORP|                                               1,192,920 |                                                         1 |                                                      -   |                                                        -   |Europe
OVERSEA-CHINESE BANKING CORPORATION           LIMITED|FINANCIALS|CORP|                                               1,192,308 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
REGION OF SICILY|GOVERNMENT|STATE|                                               1,125,396 |                                                         1 |                                        29,260,300 |                                                         1 |Europe
SCANIA AKTIEBOLAG|INDUSTRIALS|CORP|                                               1,125,396 |                                                         1 |                                                      -   |                                                        -   |Europe
HUMANA INC.|HEALTHCARE|CORP|                                               1,125,000 |                                                         1 |                                                      -   |                                                        -   |Americas
CARE UK SOCIAL CARE LIMITED|HEALTHCARE|CORP|                                               1,107,390 |                                                         1 |                                          7,607,678 |                                                         3 |Europe
THE WHARF (HOLDINGS) LIMITED|FINANCIALS|CORP|                                               1,057,692 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
NORDEA BANK ABP|FINANCIALS|CORP|                                               1,026,361 |                                                         1 |                                                      -   |                                                        -   |Europe
SHINHAN BANK|FINANCIALS|CORP|                                               1,001,146 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
REPUBLIC OF SLOVENIA|GOVERNMENT|SOV|                                                  989,008 |                                                         1 |                                                      -   |                                                        -   |Europe
VUE INTERNATIONAL BIDCO PLC|CONSUMER SERVICES|CORP|                                                  985,663 |                                                         1 |                                                      -   |                                                        -   |Europe
BCE INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                  961,538 |                                                         1 |                                                      -   |                                                        -   |Americas
EOG RESOURCES, INC.|ENERGY|CORP|                                                  961,538 |                                                         1 |                                                      -   |                                                        -   |Americas
CIRSA FINANCE INTERNATIONAL S.A R.L.|CONSUMER SERVICES|CORP|                                                  961,088 |                                                         1 |                                          1,755,618 |                                                         9 |Europe
CHINA NATIONAL PETROLEUM CORPORATION|ENERGY|CORP|                                                  946,154 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
NEW ZEALAND|GOVERNMENT|SOV|                                                  915,385 |                                                         1 |                                        20,000,000 |                                                         2 |Australia NZ
HUNTSMAN INTERNATIONAL LLC|BASIC MATERIALS|CORP|                                                  853,846 |                                                         1 |                                          5,000,000 |                                                         1 |Americas
EXELON GENERATION COMPANY, LLC|UTILITIES|CORP|                                                  809,615 |                                                         1 |                                          8,400,000 |                                                         5 |Americas
MIZUHO BANK, LTD.|FINANCIALS|CORP|                                                  807,692 |                                                         1 |                                                      -   |                                                        -   |Japan
BANK OF MONTREAL|FINANCIALS|STATBODY|                                                  769,231 |                                                         1 |                                                      -   |                                                        -   |Americas
KINGDOM OF THE NETHERLANDS|GOVERNMENT|SOV|                                                  769,231 |                                                         1 |                                                      -   |                                                        -   |Europe
TENNECO INC.|CONSUMER GOODS|CORP|                                                  769,231 |                                                         1 |                                        20,000,000 |                                                         1 |Americas
UNITED OVERSEAS BANK LIMITED|FINANCIALS|CORP|                                                  769,231 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
WOODSIDE PETROLEUM LTD.|ENERGY|CORP|                                                  763,462 |                                                         1 |                                                      -   |                                                        -   |Australia NZ
MICROSOFT CORPORATION|TECHNOLOGY|CORP|                                                  744,310 |                                                         1 |                                          7,000,000 |                                                         2 |Americas
KIMCO REALTY CORPORATION|FINANCIALS|CORP|                                                  735,385 |                                                         1 |                                          1,280,000 |                                                         1 |Americas
CAIXABANK, S.A.|FINANCIALS|CORP|                                                  716,877 |                                                         1 |                                        11,704,120 |                                                         3 |Europe
THE WESTERN UNION COMPANY|FINANCIALS|CORP|                                                  711,538 |                                                         1 |                                                      -   |                                                        -   |Americas
MITSUBISHI ESTATE COMPANY, LIMITED|FINANCIALS|CORP|                                                  700,600 |                                                         1 |                                                      -   |                                                        -   |Japan
THE KANSAI ELECTRIC POWER COMPANY,           INCORPORATED|UTILITIES|CORP|                                                  700,600 |                                                         1 |                                                      -   |                                                        -   |Japan
REPUBLIC OF LATVIA|GOVERNMENT|SOV|                                                  692,308 |                                                         1 |                                                      -   |                                                        -   |Europe
CHEVRON CORPORATION|ENERGY|CORP|                                                  684,615 |                                                         1 |                                          6,000,000 |                                                         1 |Americas
BANCO COMERCIAL PORTUGUES, S.A.|FINANCIALS|CORP|                                                  675,238 |                                                         1 |                                                      -   |                                                        -   |Europe
VERISURE MIDHOLDING AB|INDUSTRIALS|CORP|                                                  675,238 |                                                         1 |                                          2,340,824 |                                                         3 |Europe
KINDER MORGAN ENERGY PARTNERS, L.P.|ENERGY|CORP|                                                  669,231 |                                                         1 |                                          5,700,000 |                                                         1 |Americas
VTB BANK (PUBLIC JOINT-STOCK COMPANY)|FINANCIALS|CORP|                                                  661,538 |                                                         1 |                                                      -   |                                                        -   |Europe
CREDIT SAISON CO., LTD.|FINANCIALS|CORP|                                                  630,540 |                                                         1 |                                          9,107,800 |                                                         1 |Japan
CATERPILLAR FINANCIAL SERVICES           CORPORATION|FINANCIALS|CORP|                                                  611,538 |                                                         1 |                                                      -   |                                                        -   |Americas
AUSNET SERVICES HOLDINGS PTY LTD|UTILITIES|CORP|                                                  596,154 |                                                         1 |                                                      -   |                                                        -   |Australia NZ
AMAZON.COM, INC.|CONSUMER SERVICES|CORP|                                                  581,538 |                                                         1 |                                          4,200,000 |                                                         1 |Americas
FOSTER'S GROUP PTY LTD|CONSUMER GOODS|CORP|                                                  580,146 |                                                         1 |                                                      -   |                                                        -   |Australia NZ
COMCAST CABLE COMMUNICATIONS, LLC|CONSUMER SERVICES|CORP|                                                  576,923 |                                                         1 |                                        15,000,000 |                                                         1 |Americas
JETBLUE AIRWAYS CORPORATION|INDUSTRIALS|CORP|                                                  576,923 |                                                         1 |                                                      -   |                                                        -   |Americas
ELI LILLY AND COMPANY|HEALTHCARE|CORP|                                                  571,269 |                                                         1 |                                        11,853,000 |                                                         8 |Americas
SLOVAK REPUBLIC|GOVERNMENT|SOV|                                                  567,364 |                                                         1 |                                        10,000,000 |                                                         1 |Europe
PCCW-HKT TELEPHONE LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                                  557,692 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
LEVI STRAUSS & CO.|CONSUMER GOODS|CORP|                                                  550,000 |                                                         1 |                                                      -   |                                                        -   |Americas
SVENSKA CELLULOSA AKTIEBOLAGET SCA|BASIC MATERIALS|CORP|                                                  540,190 |                                                         1 |                                                      -   |                                                        -   |Europe
SVENSKA HANDELSBANKEN AB|FINANCIALS|CORP|                                                  540,190 |                                                         1 |                                          2,340,824 |                                                         1 |Europe
WEST JAPAN RAILWAY COMPANY|INDUSTRIALS|CORP|                                                  525,450 |                                                         1 |                                                      -   |                                                        -   |Japan
