Reference EntityREPUBLIC OF ITALY|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                        3,307,054,703 |Average Number of Trades/Week                                                     115 |Notional traded in prior 8 Weeks                                  32,605,791,800 |Contracts traded in prior 8 Weeks                                                     881 |DC Region Europe 
MERITOR, INC.|CONSUMER GOODS|CORP|                                              2,753,846 |                                                        1 |                                                     -   |                                                      -   | Americas 
VODAFONE WEST GMBH|TELECOMMUNICATIONS SERVICES|CORP|                                              2,715,518 |                                                        1 |                                       34,330,132 |                                                     12 | Europe 
COMMSCOPE, INC.|TECHNOLOGY|CORP|                                              2,596,154 |                                                        1 |                                       29,000,000 |                                                     10 | Americas 
SKANDINAVISKA ENSKILDA BANKEN AB|FINANCIALS|CORP|                                              2,585,763 |                                                        1 |                                       16,733,242 |                                                       8 | Europe 
SERVICE PROPERTIES TRUST|FINANCIALS|CORP|                                              2,576,923 |                                                        2 |                                         8,000,000 |                                                       7 | Americas 
TELSTRA CORPORATION LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                              2,576,923 |                                                        1 |                                                     -   |                                                      -   | Australia NZ 
CARVANA CO.|CONSUMER SERVICES|CORP|                                              2,557,692 |                                                        2 |                                       14,000,000 |                                                     11 | Americas 
FRONTIER COMMUNICATIONS HOLDINGS, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                              2,538,462 |                                                        1 |                                         5,000,000 |                                                       2 | Americas 
NXP B.V.|TECHNOLOGY|CORP|                                              2,526,470 |                                                        1 |                                       36,432,040 |                                                     19 | Europe 
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|TELECOMMUNICATIONS SERVICES|CORP|                                              2,521,538 |                                                        1 |                                       32,860,000 |                                                       7 | Americas 
THE CIGNA GROUP|HEALTHCARE|CORP|                                              2,517,538 |                                                        1 |                                         2,760,000 |                                                       2 | Americas 
SWISS CONFEDERATION|GOVERNMENT|SOV|                                              2,500,000 |                                                        1 |                                                     -   |                                                      -   | Europe 
THE ISRAEL ELECTRIC CORPORATION LTD.|UTILITIES|CORP|                                              2,449,079 |                                                        1 |                                       21,623,050 |                                                     10 | Europe 
WEATHERFORD INTERNATIONAL LTD.|ENERGY|CORP|                                              2,442,308 |                                                        1 |                                         4,000,000 |                                                       2 | Americas 
KOOKMIN BANK|FINANCIALS|CORP|                                              2,369,231 |                                                        1 |                                       22,600,000 |                                                       3 | Asia Ex-Japan 
GARFUNKELUX HOLDCO 2 S.A.|INDUSTRIALS|CORP|                                              2,359,262 |                                                        1 |                                       33,250,569 |                                                     13 | Europe 
NOVARTIS AG|HEALTHCARE|CORP|                                              2,331,443 |                                                        1 |                                         6,477,384 |                                                       6 | Europe 
GFL ENVIRONMENTAL INC.|INDUSTRIALS|CORP|                                              2,326,923 |                                                        1 |                                         4,000,000 |                                                       2 | Americas 
MPT OPERATING PARTNERSHIP, L.P.|FINANCIALS|CORP|                                              2,326,923 |                                                        1 |                                         3,000,000 |                                                       2 | Americas 
NATIONAL BANK OF CANADA|FINANCIALS|CORP|                                              2,307,692 |                                                        1 |                                                     -   |                                                      -   | Americas 
LONGFOR GROUP HOLDINGS LIMITED|FINANCIALS|CORP|                                              2,303,846 |                                                        1 |                                         6,000,000 |                                                       2 | Asia Ex-Japan 
NUCOR CORPORATION|BASIC MATERIALS|CORP|                                              2,227,115 |                                                        1 |                                              20,000 |                                                       2 | Americas 
TK ELEVATOR HOLDCO GMBH|INDUSTRIALS|CORP|                                              2,202,299 |                                                        1 |                                       30,119,835 |                                                     14 | Europe 
GS CALTEX CORPORATION|ENERGY|CORP|                                              2,143,500 |                                                        1 |                                            100,000 |                                                       1 | Asia Ex-Japan 
SK TELECOM CO., LTD.|TELECOMMUNICATIONS SERVICES|CORP|                                              2,134,615 |                                                        1 |                                                     -   |                                                      -   | Asia Ex-Japan 
ELECTRICITY NORTH WEST LIMITED|UTILITIES|CORP|                                              2,034,563 |                                                        1 |                                       41,023,428 |                                                       2 | Europe 
FRESENIUS SE & CO. KGAA|HEALTHCARE|CORP|                                              2,009,690 |                                                        2 |                                       22,647,410 |                                                     23 | Europe 
CHEVRON CORPORATION|ENERGY|CORP|                                              1,962,277 |                                                        1 |                                       51,019,200 |                                                       7 | Americas 
ZF EUROPE FINANCE B.V.|CONSUMER GOODS|CORP|                                              1,926,607 |                                                        1 |                                       13,170,681 |                                                     11 | Europe 
ASSURED GUARANTY CORP.|FINANCIALS|CORP|                                              1,923,077 |                                                        1 |                                       50,000,000 |                                                       2 | Americas 
COMISION FEDERAL DE ELECTRICIDAD|UTILITIES|STATBODY|                                              1,923,077 |                                                        1 |                                                     -   |                                                      -   | Americas 
SASOL LTD|ENERGY|CORP|                                              1,917,308 |                                                        1 |                                         5,000,000 |                                                       1 | Europe 
EQM MIDSTREAM PARTNERS, LP|UTILITIES|CORP|                                              1,884,615 |                                                        1 |                                         2,000,000 |                                                       1 | Americas 
STANDARD BUILDING SOLUTIONS INC.|CONSUMER GOODS|CORP|                                              1,884,615 |                                                        1 |                                         4,000,000 |                                                       2 | Americas 
DUFRY ONE B.V.|CONSUMER SERVICES|CORP|                                              1,802,041 |                                                        1 |                                       35,625,612 |                                                     20 | Europe 
CZECH REPUBLIC|GOVERNMENT|SOV|                                              1,795,769 |                                                        1 |                                         2,400,000 |                                                       4 | Europe 
CONSTELLATION ENERGY GENERATION, LLC|UTILITIES|CORP|                                              1,780,769 |                                                        1 |                                                     -   |                                                      -   | Americas 
KOREA ELECTRIC POWER CORPORATION|UTILITIES|CORP|                                              1,757,692 |                                                        1 |                                                     -   |                                                      -   | Asia Ex-Japan 
AIRPORT AUTHORITY|INDUSTRIALS|STATBODY|                                              1,659,615 |                                                        1 |                                       10,000,000 |                                                       2 | Asia Ex-Japan 
BANCO BPM SOCIETA' PER AZIONI|FINANCIALS|CORP|                                              1,623,498 |                                                        1 |                                                     -   |                                                      -   | Europe 
ICICI BANK LIMITED|FINANCIALS|CORP|                                              1,619,231 |                                                        1 |                                       23,600,000 |                                                       6 | Asia Ex-Japan 
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1|FINANCIALS|CORP|                                              1,615,385 |                                                        1 |                                       20,000,000 |                                                       2 | Australia NZ 
EQUINIX, INC.|TECHNOLOGY|CORP|                                              1,571,577 |                                                        1 |                                       13,178,000 |                                                       7 | Americas 
CONTINENTAL RESOURCES, INC.|ENERGY|CORP|                                              1,538,462 |                                                        1 |                                       25,000,000 |                                                       1 | Americas 
VALE SA|BASIC MATERIALS|CORP|                                              1,538,462 |                                                        1 |                                       30,900,000 |                                                     20 | Americas 
MAZDA MOTOR CORPORATION|CONSUMER GOODS|CORP|                                              1,523,303 |                                                        1 |                                       25,948,681 |                                                     11 | Japan 
REPUBLIC OF SERBIA|GOVERNMENT|SOV|                                              1,515,385 |                                                        1 |                                       15,000,000 |                                                       2 | Europe 
BANK OF INDIA|FINANCIALS|STATBODY|                                              1,473,077 |                                                        1 |                                         5,000,000 |                                                       1 | Asia Ex-Japan 
XLIT LTD.|FINANCIALS|CORP|                                              1,454,615 |                                                        1 |                                         2,220,000 |                                                       3 | Americas 
SUMITOMO MITSUI BANKING CORPORATION|FINANCIALS|CORP|                                              1,423,077 |                                                        1 |                                         1,000,000 |                                                       1 | Japan 
MODULAIRE GLOBAL FINANCE PLC|FINANCIALS|CORP|                                              1,419,211 |                                                        1 |                                                     -   |                                                      -   | Europe 
SUNRISE COMMUNICATIONS HOLDINGS S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                              1,417,135 |                                                        1 |                                       11,983,158 |                                                       6 | Europe 
CIRSA FINANCE INTERNATIONAL S.A R.L.|CONSUMER SERVICES|CORP|                                              1,407,585 |                                                        1 |                                       10,795,640 |                                                       7 | Europe 
CLEVELAND-CLIFFS STEEL CORPORATION|BASIC MATERIALS|CORP|                                              1,395,731 |                                                        1 |                                       23,425,000 |                                                     11 | Americas 
AUTOSTRADE PER L'ITALIA S.P.A.|INDUSTRIALS|CORP|                                              1,390,977 |                                                        1 |                                                     -   |                                                      -   | Europe 
KINGDOM OF NORWAY|GOVERNMENT|SOV|                                              1,380,769 |                                                        1 |                                            900,000 |                                                       1 | Europe 
HYUNDAI MOTOR COMPANY|CONSUMER GOODS|CORP|                                              1,376,923 |                                                        1 |                                         5,000,000 |                                                       1 | Asia Ex-Japan 
TEMASEK HOLDINGS (PRIVATE) LIMITED|FINANCIALS|CORP|                                              1,373,077 |                                                        1 |                                       22,400,000 |                                                     12 | Asia Ex-Japan 
KLEPIERRE|FINANCIALS|CORP|                                              1,345,303 |                                                        1 |                                                     -   |                                                      -   | Europe 
BOSTON PROPERTIES LIMITED PARTNERSHIP|FINANCIALS|CORP|                                              1,331,731 |                                                        1 |                                         7,390,000 |                                                       4 | Americas 
ILIAD HOLDING|TELECOMMUNICATIONS SERVICES|CORP|                                              1,266,412 |                                                        1 |                                         8,096,730 |                                                       8 | Europe 
KINGDOM OF DENMARK|GOVERNMENT|SOV|                                              1,230,769 |                                                        1 |                                       15,000,000 |                                                       1 | Europe 
TEOLLISUUDEN VOIMA OYJ|UTILITIES|CORP|                                              1,195,825 |                                                        1 |                                       23,750,408 |                                                     13 | Europe 
HONG KONG SPECIAL ADMINISTRATIVE REGION|GOVERNMENT|SOV|                                              1,153,846 |                                                        1 |                                                     -   |                                                      -   | Asia Ex-Japan 
NBN CO LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                              1,153,846 |                                                        1 |                                                     -   |                                                      -   | Australia NZ 
HYATT HOTELS CORPORATION|CONSUMER SERVICES|CORP|                                              1,076,923 |                                                        1 |                                       28,000,000 |                                                       3 | Americas 
THE KANSAI ELECTRIC POWER COMPANY, INCORPORATED|UTILITIES|CORP|                                              1,050,554 |                                                        1 |                                       27,314,400 |                                                       1 | Japan 
VISTRA CORP.|UTILITIES|CORP|                                              1,038,462 |                                                        1 |                                         9,000,000 |                                                       1 | Americas 
FIRST DATA CORPORATION|TECHNOLOGY|CORP|                                              1,000,000 |                                                        1 |                                                     -   |                                                      -   | Americas 
ABU DHABI NATIONAL ENERGY COMPANY|UTILITIES|CORP|                                                 961,538 |                                                        1 |                                       25,000,000 |                                                       1 | Europe 
AMERICAN HONDA FINANCE CORPORATION|FINANCIALS|CORP|                                                 961,538 |                                                        1 |                                                     -   |                                                      -   | Japan 
REPUBLIC OF LITHUANIA|GOVERNMENT|SOV|                                                 917,000 |                                                        1 |                                       17,750,000 |                                                       3 | Europe 
FCC AQUALIA, S.A.|UTILITIES|CORP|                                                 913,477 |                                                        1 |                                         8,636,512 |                                                       8 | Europe 
TIME WARNER CABLE, LLC|CONSUMER SERVICES|CORP|                                                 907,115 |                                                        1 |                                         2,760,000 |                                                       2 | Americas 
IDBI BANK LIMITED|FINANCIALS|CORP|                                                 884,615 |                                                        1 |                                                     -   |                                                      -   | Asia Ex-Japan 
NORBORD INC.|BASIC MATERIALS|CORP|                                                 884,615 |                                                        1 |                                       13,000,000 |                                                       8 | Americas 
ESKOM HOLDINGS SOC LIMITED|UTILITIES|CORP|                                                 865,385 |                                                        1 |                                                     -   |                                                      -   | Europe 
TELEKOM MALAYSIA BERHAD|TELECOMMUNICATIONS SERVICES|CORP|                                                 861,538 |                                                        1 |                                                     -   |                                                      -   | Asia Ex-Japan 
INEOS QUATTRO FINANCE 2 PLC|BASIC MATERIALS|CORP|                                                 851,195 |                                                        1 |                                       17,812,806 |                                                     17 | Europe 
NATIXIS|FINANCIALS|CORP|                                                 830,434 |                                                        1 |                                                     -   |                                                      -   | Europe 
REPUBLIC OF COTE D'IVOIRE|GOVERNMENT|SOV|                                                 807,692 |                                                        1 |                                                     -   |                                                      -   | Europe 
SAMSUNG ELECTRONICS CO., LTD.|TECHNOLOGY|CORP|                                                 773,077 |                                                        1 |                                                     -   |                                                      -   | Asia Ex-Japan 
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|FINANCIALS|CORP|                                                 769,231 |                                                        1 |                                       20,000,000 |                                                       5 | Asia Ex-Japan 
BRITISH AIRWAYS PLC|INDUSTRIALS|CORP|                                                 763,999 |                                                        1 |                                         6,477,384 |                                                       4 | Europe 
KAIXO BONDCO TELECOM, S.A.U.|TELECOMMUNICATIONS SERVICES|CORP|                                                 763,999 |                                                        1 |                                       15,113,895 |                                                     10 | Europe 
NIDDA HEALTHCARE HOLDING GMBH|HEALTHCARE|CORP|                                                 757,190 |                                                        1 |                                         9,716,076 |                                                       9 | Europe 
EP INFRASTRUCTURE, A.S.|UTILITIES|CORP|                                                 714,173 |                                                        1 |                                         9,716,076 |                                                       8 | Europe 
INEOS FINANCE PLC|BASIC MATERIALS|CORP|                                                 705,869 |                                                        1 |                                       16,193,460 |                                                     12 | Europe 
DMG MORI CO., LTD.|INDUSTRIALS|CORP|                                                 656,596 |                                                        1 |                                                     -   |                                                      -   | Japan 
CORNING INCORPORATED|TECHNOLOGY|CORP|                                                 646,923 |                                                        1 |                                                     -   |                                                      -   | Americas 
EASYJET PLC|INDUSTRIALS|CORP|                                                 622,825 |                                                        1 |                                                     -   |                                                      -   | Europe 
SVENSKA CELLULOSA AKTIEBOLAGET SCA|BASIC MATERIALS|CORP|                                                 622,825 |                                                        1 |                                       16,193,460 |                                                     20 | Europe 
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                                 609,954 |                                                        1 |                                                     -   |                                                      -   | Europe 
ORANO|BASIC MATERIALS|CORP|                                                 592,431 |                                                        1 |                                         3,886,430 |                                                       2 | Europe 
