Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                 2,384,425,942 |Average Number of Trades/Week                                              297 |Notional traded in prior 8 Weeks                              8,617,690,932 |Contracts traded in prior 8 Weeks                                            1,027 |DC Region  Americas  
STATE OF CONNECTICUT|GOVERNMENT|MUNI|                                      2,307,692 |                                                 1 |                                              -    |                                                -    |  Americas  
FCC AQUALIA, S.A.|UTILITIES|CORP|                                      2,277,970 |                                                 1 |                                   2,359,604 |                                                  1 |  Europe  
REGION OF MOLISE|GOVERNMENT|STATE|                                      2,268,850 |                                                 1 |                                 58,990,090 |                                                  1 |  Europe  
REGION OF PUGLIA|GOVERNMENT|STATE|                                      2,268,850 |                                                 1 |                                 58,990,090 |                                                  1 |  Europe  
SUNRISE COMMUNICATIONS HOLDINGS S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      2,268,827 |                                                 1 |                                 10,854,177 |                                                  4 |  Europe  
LAGARDERE SCA|CONSUMER SERVICES|CORP|                                      2,207,568 |                                                 1 |                                   3,893,346 |                                                  2 |  Europe  
COMISION FEDERAL DE ELECTRICIDAD|UTILITIES|STATBODY|                                      2,192,308 |                                                 1 |                                 57,000,000 |                                                  3 |  Americas  
KINDER MORGAN ENERGY PARTNERS, L.P.|ENERGY|CORP|                                      2,184,615 |                                                 1 |                                              -    |                                                -    |  Americas  
MITSUI FUDOSAN CO., LTD.|FINANCIALS|CORP|                                      2,180,377 |                                                 1 |                                   4,724,150 |                                                  1 |  Japan  
ALTICE FRANCE HOLDING S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      2,158,765 |                                                 1 |                                 49,049,080 |                                                  7 |  Europe  
TECHNIPFMC PLC|ENERGY|CORP|                                      2,114,568 |                                                 2 |                                   9,910,335 |                                                12 |  Europe  
LENDLEASE CORPORATION LIMITED|INDUSTRIALS|CORP|                                      2,111,538 |                                                 1 |                                 20,000,000 |                                                  2 |  Australia NZ  
UPM-KYMMENE OYJ|BASIC MATERIALS|CORP|                                      2,105,492 |                                                 1 |                                 16,399,245 |                                                  6 |  Europe  
CROWN EUROPEAN HOLDINGS|INDUSTRIALS|CORP|                                      2,069,191 |                                                 1 |                                 13,095,800 |                                                  5 |  Europe  
MIZUHO BANK, LTD.|FINANCIALS|CORP|                                      2,019,231 |                                                 1 |                                              -    |                                                -    |  Japan  
AMAZON.COM, INC.|CONSUMER SERVICES|CORP|                                      1,923,077 |                                                 1 |                                              -    |                                                -    |  Americas  
BANK OF MONTREAL|FINANCIALS|STATBODY|                                      1,923,077 |                                                 1 |                                              -    |                                                -    |  Americas  
MALAYAN BANKING BERHAD|FINANCIALS|CORP|                                      1,923,077 |                                                 1 |                                 30,000,000 |                                                  1 |  Asia Ex-Japan  
NUCOR CORPORATION|BASIC MATERIALS|CORP|                                      1,923,077 |                                                 1 |                                              -    |                                                -    |  Americas  
CAIXABANK, S.A.|FINANCIALS|CORP|                                      1,844,575 |                                                 1 |                                   1,474,752 |                                                  1 |  Europe  
TOYOTA TSUSHO CORPORATION|BASIC MATERIALS|CORP|                                      1,816,981 |                                                 1 |                                 47,241,500 |                                                  5 |  Japan  
NOVARTIS AG|HEALTHCARE|CORP|                                      1,806,004 |                                                 1 |                                              -    |                                                -    |  Europe  
TIME WARNER CABLE, LLC|CONSUMER SERVICES|CORP|                                      1,769,231 |                                                 1 |                                 24,500,000 |                                                  8 |  Americas  
THE WHARF (HOLDINGS) LIMITED|FINANCIALS|CORP|                                      1,692,308 |                                                 1 |                                   8,500,000 |                                                  1 |  Asia Ex-Japan  
SAPPI PAPIER HOLDING GMBH|BASIC MATERIALS|CORP|                                      1,677,642 |                                                 1 |                                              -    |                                                -    |  Europe  
MGM GROWTH PROPERTIES OPERATING PARTNERSHIP L style='display:none'>P|CONSUMER SERVICES|CORP|                                      1,673,077 |                                                 1 |                                   8,500,000 |                                                  5 |  Americas  
ROCHE HOLDINGS, INC.|HEALTHCARE|CORP|                                      1,651,723 |                                                 1 |                                 20,764,512 |                                                  2 |  Europe  
KIMCO REALTY CORPORATION|FINANCIALS|CORP|                                      1,651,577 |                                                 1 |                                   2,941,000 |                                                  2 |  Americas  
LEVEL 3 PARENT, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                      1,640,385 |                                                 1 |                                 17,450,000 |                                                  4 |  Americas  
MITSUBISHI CHEMICAL HOLDINGS CORPORATION|BASIC MATERIALS|CORP|                                      1,635,283 |                                                 1 |                                              -    |                                                -    |  Japan  
HUMANA INC.|HEALTHCARE|CORP|                                      1,634,615 |                                                 1 |                                              -    |                                                -    |  Americas  
NOMURA SECURITIES CO., LTD.|FINANCIALS|CORP|                                      1,598,943 |                                                 1 |                                              -    |                                                -    |  Japan  
"JOINT STOCK COMPANY ""RUSSIAN RAILWAYS"""|GOVERNMENT|CORP|                                      1,543,154 |                                                 1 |                                              -    |                                                -    |  Europe  
PCCW-HKT TELEPHONE LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                      1,538,462 |                                                 1 |                                 40,000,000 |                                                  2 |  Asia Ex-Japan  
TEXTRON INC.|INDUSTRIALS|CORP|                                      1,538,462 |                                                 1 |                                              -    |                                                -    |  Americas  
SANMINA CORPORATION|INDUSTRIALS|CORP|                                      1,436,385 |                                                 1 |                                   7,000,000 |                                                  3 |  Americas  
CHEVRON CORPORATION|ENERGY|CORP|                                      1,434,615 |                                                 1 |                                   4,200,000 |                                                  6 |  Americas  
NXP B.V.|TECHNOLOGY|CORP|                                      1,418,893 |                                                 1 |                                 18,309,344 |                                                  7 |  Europe  
SMITHFIELD FOODS, INC.|CONSUMER GOODS|CORP|                                      1,382,692 |                                                 1 |                                 14,000,000 |                                                  4 |  Americas  
THE CLOROX COMPANY|CONSUMER GOODS|CORP|                                      1,380,769 |                                                 1 |                                              -    |                                                -    |  Americas  
AUTONOMOUS REGION OF SARDINIA|GOVERNMENT|STATE|                                      1,361,310 |                                                 1 |                                 35,394,054 |                                                  1 |  Europe  
EASYJET PLC|INDUSTRIALS|CORP|                                      1,361,310 |                                                 1 |                                              -    |                                                -    |  Europe  
RYANAIR DESIGNATED ACTIVITY COMPANY|INDUSTRIALS|CORP|                                      1,361,310 |                                                 1 |                                              -    |                                                -    |  Europe  
CIGNA HOLDING COMPANY|FINANCIALS|CORP|                                      1,356,538 |                                                 1 |                                              -    |                                                -    |  Americas  
VERISURE MIDHOLDING AB|INDUSTRIALS|CORP|                                      1,352,234 |                                                 1 |                                   4,719,207 |                                                  2 |  Europe  
BROOKFIELD ASSET MANAGEMENT INC.|FINANCIALS|CORP|                                      1,346,154 |                                                 1 |                                              -    |                                                -    |  Americas  
COMMONWEALTH OF PENNSYLVANIA|GOVERNMENT|MUNI|                                      1,346,154 |                                                 1 |                                              -    |                                                -    |  Americas  
EXXON MOBIL CORPORATION|ENERGY|CORP|                                      1,325,000 |                                                 1 |                                              -    |                                                -    |  Americas  
SLOVAK REPUBLIC|GOVERNMENT|SOV|                                      1,288,473 |                                                 1 |                                 11,000,310 |                                                  3 |  Europe  
TAISEI CORPORATION|INDUSTRIALS|CORP|                                      1,276,394 |                                                 1 |                                              -    |                                                -    |  Japan  
WOOLWORTHS GROUP LIMITED|CONSUMER SERVICES|CORP|                                      1,271,154 |                                                 1 |                                      900,000 |                                                  1 |  Australia NZ  
SAMSUNG ELECTRONICS CO., LTD.|TECHNOLOGY|CORP|                                      1,253,846 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
SHIRE PLC|HEALTHCARE|CORP|                                      1,234,254 |                                                 1 |                                              -    |                                                -    |  Europe  
WIND TRE S.P.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      1,191,185 |                                                 1 |                                   8,319,209 |                                                  6 |  Europe  
GECINA|FINANCIALS|CORP|                                      1,179,802 |                                                 1 |                                 29,495,045 |                                                  1 |  Europe  
TELSTRA CORPORATION LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                      1,169,231 |                                                 1 |                                 10,000,000 |                                                  1 |  Australia NZ  
CHINA EVERGRANDE GROUP|FINANCIALS|CORP|                                      1,153,846 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
KINGDOM OF NORWAY|GOVERNMENT|SOV|                                      1,153,846 |                                                 1 |                                              -    |                                                -    |  Europe  
QBE INSURANCE GROUP LIMITED|FINANCIALS|CORP|                                      1,153,846 |                                                 1 |                                              -    |                                                -    |  Australia NZ  
REGION OF ABRUZZO|GOVERNMENT|STATE|                                      1,134,425 |                                                 1 |                                 29,495,045 |                                                  1 |  Europe  
REGION OF SICILY|GOVERNMENT|STATE|                                      1,134,425 |                                                 1 |                                 29,495,045 |                                                  1 |  Europe  
ASAHI GROUP HOLDINGS, LTD.|CONSUMER GOODS|CORP|                                      1,090,188 |                                                 1 |                                              -    |                                                -    |  Japan  
NIKE, INC.|CONSUMER GOODS|CORP|                                      1,073,077 |                                                 1 |                                              -    |                                                -    |  Americas  
KINGDOM OF MOROCCO|GOVERNMENT|SOV|                                      1,051,923 |                                                 1 |                                 11,600,000 |                                                  6 |  Europe  
CZECH REPUBLIC|GOVERNMENT|SOV|                                         996,339 |                                                 1 |                                              -    |                                                -    |  Europe  
REPUBLIC OF SLOVENIA|GOVERNMENT|SOV|                                         980,769 |                                                 1 |                                              -    |                                                -    |  Europe  
TOYOTA MOTOR CREDIT CORPORATION|FINANCIALS|CORP|                                         980,769 |                                                 1 |                                 25,500,000 |                                                  1 |  Japan  
THE NEW JERSEY TRANSPORTATION TRUST FUND AUTHO style='display:none'>RITY|GOVERNMENT|MUNI|                                         961,538 |                                                 1 |                                              -    |                                                -    |  Americas  
WELLTOWER INC.|FINANCIALS|CORP|                                         946,154 |                                                 1 |                                              -    |                                                -    |  Americas  
BANCO COMERCIAL PORTUGUES, S.A.|FINANCIALS|CORP|                                         939,086 |                                                 1 |                                   4,719,207 |                                                  1 |  Europe  
TEOLLISUUDEN VOIMA OYJ|UTILITIES|CORP|                                         930,228 |                                                 1 |                                   5,309,108 |                                                  3 |  Europe  
ELI LILLY AND COMPANY|HEALTHCARE|CORP|                                         923,077 |                                                 1 |                                   2,000,000 |                                                  1 |  Americas  
SWEDISH MATCH AB|CONSUMER GOODS|CORP|                                         884,851 |                                                 1 |                                              -    |                                                -    |  Europe  
EXELON GENERATION COMPANY, LLC|UTILITIES|CORP|                                         869,231 |                                                 1 |                                   5,500,000 |                                                10 |  Americas  
MARATHON OIL CORPORATION|ENERGY|CORP|                                         866,923 |                                                 1 |                                   5,000,000 |                                                  1 |  Americas  
SITE CENTERS CORP.|FINANCIALS|CORP|                                         862,115 |                                                 1 |                                              -    |                                                -    |  Americas  
PROLOGIS, L.P.|FINANCIALS|CORP|                                         846,154 |                                                 1 |                                   2,000,000 |                                                  1 |  Americas  
REPUBLIC OF SERBIA|GOVERNMENT|SOV|                                         834,615 |                                                 1 |                                              -    |                                                -    |  Europe  
PUBLIC POWER CORPORATION FINANCE PLC|UTILITIES|CORP|                                         816,763 |                                                 1 |                                              -    |                                                -    |  Europe  
KINGFISHER PLC|CONSUMER SERVICES|CORP|                                         808,300 |                                                 1 |                                   3,436,763 |                                                  4 |  Europe  
ANTERO RESOURCES CORPORATION|ENERGY|CORP|                                         786,538 |                                                 1 |                                   9,900,000 |                                                18 |  Americas  
SHIMAO PROPERTY HOLDINGS LIMITED|FINANCIALS|CORP|                                         769,231 |                                                 1 |                                 20,000,000 |                                                  3 |  Asia Ex-Japan  
TEMASEK HOLDINGS (PRIVATE) LIMITED|FINANCIALS|CORP|                                         769,231 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
TRANSNET SOC LTD|INDUSTRIALS|CORP|                                         769,231 |                                                 1 |                                              -    |                                                -    |  Europe  
FIRST DATA CORPORATION|TECHNOLOGY|CORP|                                         761,038 |                                                 1 |                                 11,037,000 |                                                  7 |  Americas  
OBAYASHI CORPORATION|INDUSTRIALS|CORP|                                         760,689 |                                                 1 |                                              -    |                                                -    |  Japan  
DELUXE CORPORATION|INDUSTRIALS|CORP|                                         732,577 |                                                 1 |                                              -    |                                                -    |  Americas  
MITSUBISHI MATERIALS CORPORATION|BASIC MATERIALS|CORP|                                         726,792 |                                                 1 |                                              -    |                                                -    |  Japan  
A.P. MOLLER - MAERSK A/S|INDUSTRIALS|CORP|                                         726,032 |                                                 1 |                                 14,157,622 |                                                  1 |  Europe  
STATE OF ILLINOIS|GOVERNMENT|MUNI|                                         717,308 |                                                 1 |                                   5,890,000 |                                                  2 |  Americas  
SUMITOMO MITSUI BANKING CORPORATION|FINANCIALS|CORP|                                         692,308 |                                                 1 |                                              -    |                                                -    |  Japan  
CHUBU ELECTRIC POWER COMPANY, INCORPORATED|UTILITIES|CORP|                                         680,727 |                                                 1 |                                              -    |                                                -    |  Japan  
SKANDINAVISKA ENSKILDA BANKEN AB|FINANCIALS|CORP|                                         680,655 |                                                 1 |                                              -    |                                                -    |  Europe  
SUNAC CHINA HOLDINGS LIMITED|FINANCIALS|CORP|                                         673,077 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
HUNTSMAN INTERNATIONAL LLC|BASIC MATERIALS|CORP|                                         653,846 |                                                 1 |                                              -    |                                                -    |  Americas  
UNIONE DI BANCHE ITALIANE SOCIETA PER AZIONI|FINANCIALS|CORP|                                         644,353 |                                                 1 |                                   4,955,168 |                                                  3 |  Europe  
RAIFFEISEN BANK INTERNATIONAL AG|FINANCIALS|CORP|                                         640,133 |                                                 1 |                                   1,769,703 |                                                  1 |  Europe  
INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.|INDUSTRIALS|CORP|                                         635,278 |                                                 1 |                                              -    |                                                -    |  Europe  
SHINHAN BANK|FINANCIALS|CORP|                                         634,615 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
THE WESTERN UNION COMPANY|FINANCIALS|CORP|                                         615,385 |                                                 1 |                                              -    |                                                -    |  Americas  
EQUINIX, INC.|TECHNOLOGY|CORP|                                         605,769 |                                                 1 |                                   7,000,000 |                                                  3 |  Americas  
BOEING CAPITAL CORPORATION|FINANCIALS|CORP|                                         586,923 |                                                 1 |                                   5,760,000 |                                                  9 |  Americas  
BANK OF COMMUNICATIONS CO., LTD.|FINANCIALS|CORP|                                         576,923 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
CHINA PETROLEUM & CHEMICAL CORPORATION|ENERGY|CORP|                                         576,923 |                                                 1 |                                              -    |                                                -    |  Asia Ex-Japan  
CHUBB INA HOLDINGS INC.|FINANCIALS|CORP|                                         576,923 |                                                 1 |                                   1,000,000 |                                                  1 |  Americas  
