Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                               1,326,487,895 |Average Number of Trades/Week                                            152 |Notional traded in prior 8 Weeks                            7,961,987,189 |Contracts traded in prior 8 Weeks                                             869 |DC Region  Americas  
LEVEL 3 PARENT, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                    1,750,000 |                                               1 |                                 2,000,000 |                                                2 |  Americas  
THE ISRAEL ELECTRIC CORPORATION LTD.|UTILITIES|CORP|                                    1,742,308 |                                               1 |                               24,000,000 |                                                3 |  Europe  
SLOVAK REPUBLIC|GOVERNMENT|SOV|                                    1,740,328 |                                               1 |                               15,248,527 |                                                3 |  Europe  
ROYAL BANK OF CANADA|FINANCIALS|STATBODY|                                    1,730,769 |                                               1 |                                            -  |                                              -  |  Americas  
CAPITAL ONE FINANCIAL CORPORATION|FINANCIALS|CORP|                                    1,698,462 |                                               1 |                                 1,320,000 |                                                3 |  Americas  
SASOL LTD|ENERGY|CORP|                                    1,644,038 |                                               1 |                               20,000,000 |                                                4 |  Europe  
ELECTRICITY NORTH WEST LIMITED|UTILITIES|CORP|                                    1,630,911 |                                               1 |                                            -  |                                              -  |  Europe  
KOOKMIN BANK|FINANCIALS|CORP|                                    1,615,385 |                                               1 |                               26,400,000 |                                                4 |  Asia Ex-Japan  
HYUNDAI MOTOR COMPANY|CONSUMER GOODS|CORP|                                    1,561,538 |                                               1 |                               21,500,000 |                                                2 |  Asia Ex-Japan  
WOODSIDE PETROLEUM LTD.|ENERGY|CORP|                                    1,557,692 |                                               1 |                               15,600,000 |                                                3 |  Australia NZ  
FIRST DATA CORPORATION|TECHNOLOGY|CORP|                                    1,545,385 |                                               1 |                                 4,000,000 |                                                4 |  Americas  
21VIANET GROUP, INC.|TECHNOLOGY|CORP|                                    1,538,462 |                                               1 |                               40,000,000 |                                                3 |  Asia Ex-Japan  
UNITED STATES OF AMERICA|GOVERNMENT|SOV|                                    1,533,056 |                                               1 |                                            -  |                                              -  |  Americas  
SAPPI PAPIER HOLDING GMBH|BASIC MATERIALS|CORP|                                    1,514,417 |                                               1 |                               39,374,849 |                                                6 |  Europe  
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|FINANCIALS|CORP|                                    1,480,769 |                                               1 |                               20,000,000 |                                                2 |  Asia Ex-Japan  
TIME WARNER CABLE, LLC|CONSUMER SERVICES|CORP|                                    1,478,077 |                                               1 |                               25,000,000 |                                                9 |  Americas  
KINGDOM OF MOROCCO|GOVERNMENT|SOV|                                    1,446,154 |                                               1 |                                    200,000 |                                                2 |  Europe  
LENDLEASE CORPORATION LIMITED|INDUSTRIALS|CORP|                                    1,437,629 |                                               1 |                                 5,000,000 |                                                1 |  Australia NZ  
THE WESTERN UNION COMPANY|FINANCIALS|CORP|                                    1,407,614 |                                               1 |                                            -  |                                              -  |  Americas  
BANCO BPM SOCIETA' PER AZIONI|FINANCIALS|CORP|                                    1,378,033 |                                               1 |                                 1,696,147 |                                                2 |  Europe  
SVENSKA CELLULOSA AKTIEBOLAGET SCA|BASIC MATERIALS|CORP|                                    1,369,059 |                                               1 |                                            -  |                                              -  |  Europe  
TECHNIPFMC PLC|ENERGY|CORP|                                    1,346,014 |                                               2 |                               11,751,878 |                                              21 |  Europe  
MGM GROWTH PROPERTIES OPERATING PARTNERSHIP LP|CONSUMER SERVICES|CORP|                                    1,331,464 |                                               1 |                                            -  |                                              -  |  Americas  
REPUBLIC OF LATVIA|GOVERNMENT|SOV|                                    1,307,692 |                                               1 |                               22,000,000 |                                                2 |  Europe  
MITSUBISHI ESTATE COMPANY, LIMITED|FINANCIALS|CORP|                                    1,276,652 |                                               1 |                                            -  |                                              -  |  Japan  
HUMANA INC.|HEALTHCARE|CORP|                                    1,170,192 |                                               1 |                                    970,000 |                                                1 |  Americas  
DILLARD'S, INC.|CONSUMER SERVICES|CORP|                                    1,169,231 |                                               1 |                               15,400,000 |                                              17 |  Americas  
BANK OF MONTREAL|FINANCIALS|STATBODY|                                    1,153,846 |                                               1 |                                            -  |                                              -  |  Americas  
CHINA EVERGRANDE GROUP|FINANCIALS|CORP|                                    1,153,846 |                                               1 |                                            -  |                                              -  |  Asia Ex-Japan  
NATIONAL BANK OF CANADA|FINANCIALS|CORP|                                    1,153,846 |                                               1 |                                            -  |                                              -  |  Americas  
MITSUI FUDOSAN CO., LTD.|FINANCIALS|CORP|                                    1,094,273 |                                               1 |                                 9,483,700 |                                                1 |  Japan  
BEAM SUNTORY INC.|CONSUMER GOODS|CORP|                                    1,076,923 |                                               1 |                               13,000,000 |                                                2 |  Americas  
STATE OF ILLINOIS|GOVERNMENT|MUNI|                                    1,075,385 |                                               1 |                               13,560,000 |                                                2 |  Americas  
PUBLIC POWER CORPORATION FINANCE PLC|UTILITIES|CORP|                                    1,071,741 |                                               1 |                                            -  |                                              -  |  Europe  
MIZUHO BANK, LTD.|FINANCIALS|CORP|                                    1,038,462 |                                               1 |                                            -  |                                              -  |  Japan  
MAZDA MOTOR CORPORATION|CONSUMER GOODS|CORP|                                    1,019,454 |                                               1 |                                 4,741,850 |                                                1 |  Japan  
THE WHARF (HOLDINGS) LIMITED|FINANCIALS|CORP|                                    1,019,231 |                                               1 |                                            -  |                                              -  |  Asia Ex-Japan  
UNIONE DI BANCHE ITALIANE SOCIETA PER AZIONI|FINANCIALS|CORP|                                       997,186 |                                               1 |                                            -  |                                              -  |  Europe  
NXP B.V.|TECHNOLOGY|CORP|                                       979,805 |                                               1 |                                 5,000,000 |                                                1 |  Europe  
BROOKFIELD ASSET MANAGEMENT INC.|FINANCIALS|CORP|                                       961,538 |                                               1 |                               25,000,000 |                                                6 |  Americas  
ENTERGY CORPORATION|UTILITIES|CORP|                                       961,538 |                                               1 |                                            -  |                                              -  |  Americas  
LG DISPLAY CO., LTD.|CONSUMER GOODS|CORP|                                       961,538 |                                               1 |                                            -  |                                              -  |  Asia Ex-Japan  
ORIENTAL REPUBLIC OF URUGUAY|GOVERNMENT|SOV|                                       961,538 |                                               1 |                               25,000,000 |                                                3 |  Americas  
STATE OF MICHIGAN|GOVERNMENT|MUNI|                                       961,538 |                                               1 |                               25,000,000 |                                                4 |  Americas  
MBIA INSURANCE CORPORATION|FINANCIALS|CORP|                                       947,423 |                                               1 |                                            -  |                                              -  |  Americas  
KINDER MORGAN ENERGY PARTNERS, L.P.|ENERGY|CORP|                                       942,308 |                                               1 |                                            -  |                                              -  |  Americas  
CAIXA GERAL DE DEPOSITOS S.A.|FINANCIALS|CORP|                                       933,063 |                                               1 |                                 9,706,749 |                                                2 |  Europe  
CATERPILLAR FINANCIAL SERVICES CORPORATION|FINANCIALS|CORP|                                       923,077 |                                               1 |                                            -  |                                              -  |  Americas  
MARATHON OIL CORPORATION|ENERGY|CORP|                                       913,462 |                                               1 |                                 5,600,000 |                                                6 |  Americas  
MATALAN FINANCE PLC|CONSUMER SERVICES|CORP|                                       885,352 |                                               1 |                                            -  |                                              -  |  Europe  
ORANO|BASIC MATERIALS|CORP|                                       885,352 |                                               1 |                                 1,817,301 |                                                1 |  Europe  
CHEVRON CORPORATION|ENERGY|CORP|                                       871,077 |                                               1 |                                 6,000,000 |                                                1 |  Americas  
CHUBB INA HOLDINGS INC.|FINANCIALS|CORP|                                       865,385 |                                               1 |                                            -  |                                              -  |  Americas  
APT PIPELINES LIMITED|ENERGY|CORP|                                       846,154 |                                               1 |                                            -  |                                              -  |  Australia NZ  
BANK OF SCOTLAND PLC|FINANCIALS|CORP|                                       845,643 |                                               1 |                                 2,179,456 |                                                1 |  Europe  
CHINA AOYUAN GROUP LIMITED|FINANCIALS|CORP|                                       807,692 |                                               1 |                                 5,000,000 |                                                1 |  Asia Ex-Japan  
MICROSOFT CORPORATION|TECHNOLOGY|CORP|                                       800,577 |                                               1 |                               17,000,000 |                                                3 |  Americas  
INDUSTRIAL BANK OF KOREA|FINANCIALS|STATBODY|                                       792,308 |                                               1 |                                 9,800,000 |                                                4 |  Asia Ex-Japan  
STATE OF KUWAIT|GOVERNMENT|SOV|                                       788,462 |                                               1 |                                            -  |                                              -  |  Europe  
NIPPON LIFE INSURANCE COMPANY|FINANCIALS|CORP|                                       765,991 |                                               1 |                                            -  |                                              -  |  Japan  
BANCO DE SABADELL, S.A.|FINANCIALS|CORP|                                       765,335 |                                               1 |                                 1,000,000 |                                                1 |  Europe  
SANMINA CORPORATION|INDUSTRIALS|CORP|                                       752,615 |                                               1 |                                 5,000,000 |                                                8 |  Americas  
EASYJET PLC|INDUSTRIALS|CORP|                                       745,559 |                                               1 |                                            -  |                                              -  |  Europe  
ISS A/S|INDUSTRIALS|CORP|                                       745,559 |                                               1 |                                            -  |                                              -  |  Europe  
SCANIA AKTIEBOLAG|INDUSTRIALS|CORP|                                       745,559 |                                               1 |                                            -  |                                              -  |  Europe  
EAST JAPAN RAILWAY COMPANY|INDUSTRIALS|CORP|                                       729,515 |                                               1 |                                            -  |                                              -  |  Japan  
EXXON MOBIL CORPORATION|ENERGY|CORP|                                       728,654 |                                               1 |                                    470,000 |                                                1 |  Americas  
BRITISH AIRWAYS PLC|INDUSTRIALS|CORP|                                       726,920 |                                               1 |                                            -  |                                              -  |  Europe  
ASSURED GUARANTY CORP.|FINANCIALS|CORP|                                       721,497 |                                               1 |                                 5,800,000 |                                                1 |  Americas  
WESFARMERS LIMITED|CONSUMER SERVICES|CORP|                                       715,385 |                                               1 |                               10,000,000 |                                                1 |  Australia NZ  
SOCIETY OF LLOYD'S|FINANCIALS|STATBODY|                                       698,962 |                                               1 |                               18,173,007 |                                                1 |  Europe  
BANCO COMERCIAL PORTUGUES, S.A.|FINANCIALS|CORP|                                       680,323 |                                               1 |                               12,236,491 |                                                8 |  Europe  
STATE OF CALIFORNIA|GOVERNMENT|MUNI|                                       675,747 |                                               1 |                                            -  |                                              -  |  Americas  
NIKE, INC.|CONSUMER GOODS|CORP|                                       656,923 |                                               1 |                               11,030,000 |                                                2 |  Americas  
CIGNA HOLDING COMPANY|FINANCIALS|CORP|                                       609,843 |                                               1 |                                 5,000,000 |                                                1 |  Americas  
APPLE INC.|TECHNOLOGY|CORP|                                       601,154 |                                               1 |                               12,770,000 |                                                2 |  Americas  
PORSCHE AUTOMOBIL HOLDING SE|CONSUMER GOODS|CORP|                                       582,468 |                                               1 |                                            -  |                                              -  |  Europe  
DMG MORI CO., LTD.|INDUSTRIALS|CORP|                                       580,262 |                                               1 |                               10,344,962 |                                                4 |  Japan  
SUMITOMO MITSUI BANKING CORPORATION|FINANCIALS|CORP|                                       576,923 |                                               1 |                                            -  |                                              -  |  Japan  
KIMCO REALTY CORPORATION|FINANCIALS|CORP|                                       572,500 |                                               1 |                               10,510,000 |                                                8 |  Americas  
HEALTHPEAK PROPERTIES, INC.|FINANCIALS|CORP|                                       506,923 |                                               1 |                                    765,000 |                                                1 |  Americas  
TRW AUTOMOTIVE INC.|CONSUMER GOODS|CORP|                                       496,154 |                                               1 |                                            -  |                                              -  |  Americas  
ERSTE GROUP BANK AG|FINANCIALS|CORP|                                       471,566 |                                               1 |                                            -  |                                              -  |  Europe  
GROHE HOLDING GMBH|CONSUMER GOODS|CORP|                                       465,975 |                                               1 |                                            -  |                                              -  |  Europe  
HEMA BONDCO I B.V.|CONSUMER SERVICES|CORP|                                       465,975 |                                               1 |                                            -  |                                              -  |  Europe  
INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.|INDUSTRIALS|CORP|                                       465,975 |                                               1 |                                            -  |                                              -  |  Europe  
INVESTOR AKTIEBOLAG|FINANCIALS|CORP|                                       465,975 |                                               1 |                                            -  |                                              -  |  Europe  
NATIXIS|FINANCIALS|CORP|                                       465,975 |                                               1 |                                            -  |                                              -  |  Europe  
SCHNEIDER ELECTRIC SE|INDUSTRIALS|CORP|                                       465,975 |                                               1 |                                 6,057,669 |                                                1 |  Europe  
SOCIETE AIR FRANCE|INDUSTRIALS|CORP|                                       465,975 |                                               1 |                                            -  |                                              -  |  Europe  
CELGENE CORPORATION|HEALTHCARE|CORP|                                       461,538 |                                               1 |                                            -  |                                              -  |  Americas  
MATTEL, INC.|CONSUMER GOODS|CORP|                                       461,538 |                                               1 |                                 3,000,000 |                                                1 |  Americas  
PEPSICO, INC.|CONSUMER GOODS|CORP|                                       450,000 |                                               1 |                                            -  |                                              -  |  Americas  
TEOLLISUUDEN VOIMA OYJ|UTILITIES|CORP|                                       442,676 |                                               1 |                                 1,817,301 |                                                1 |  Europe  
REPUBLIC OF ZAMBIA|GOVERNMENT|SOV|                                       442,308 |                                               1 |                                            -  |                                              -  |  Europe  
STATE OF CONNECTICUT|GOVERNMENT|MUNI|                                       430,769 |                                               1 |                               11,200,000 |                                                1 |  Americas  
HUNTSMAN INTERNATIONAL LLC|BASIC MATERIALS|CORP|                                       417,751 |                                               1 |                                 1,000,000 |                                                1 |  Americas  
XSTRATA LIMITED|BASIC MATERIALS|CORP|                                       403,702 |                                               1 |                                 1,696,147 |                                                2 |  Europe  
MELIA HOTELS INTERNATIONAL, S.A.|CONSUMER SERVICES|CORP|                                       400,738 |                                               1 |                                            -  |                                              -  |  Europe  
WOOLWORTHS GROUP LIMITED|CONSUMER SERVICES|CORP|                                       392,308 |                                               1 |                                            -  |                                              -  |  Australia NZ  
AGILE GROUP HOLDINGS LIMITED|FINANCIALS|CORP|                                       384,615 |                                               1 |                               10,000,000 |                                                2 |  Asia Ex-Japan  
EMIRATES|INDUSTRIALS|CORP|                                       384,615 |                                               1 |                                            -  |                                              -  |  Europe  
HONG KONG SPECIAL ADMINISTRATIVE REGION|GOVERNMENT|SOV|                                       384,615 |                                               1 |                               10,000,000 |                                                1 |  Asia Ex-Japan  
"PUBLIC JOINT STOCK COMPANY ""VIMPEL-COMMUNICATIONS"""|TELECOMMUNICATIONS SERVICES|CORP|                                       384,615 |                                               1 |                               10,000,000 |                                                1 |  Europe  
ROGERS COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                       384,615 |                                               1 |                               10,000,000 |                                                1 |  Americas  
SUNAC CHINA HOLDINGS LIMITED|FINANCIALS|CORP|                                       384,615 |                                               1 |                                            -  |                                              -  |  Asia Ex-Japan  
BHARTI AIRTEL LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                       384,615 |                                               1 |                               10,000,000 |                                                1 |  Asia Ex-Japan  
CATHAY PACIFIC AIRWAYS LIMITED|INDUSTRIALS|CORP|                                       384,615 |                                               1 |                               10,000,000 |                                                1 |  Asia Ex-Japan  
OWENS-BROCKWAY GLASS CONTAINER INC.|INDUSTRIALS|CORP|                                       384,615 |                                               1 |                                            -  |                                              -  |  Americas  
ATLAS COPCO AKTIEBOLAG|INDUSTRIALS|CORP|                                       372,780 |                                               1 |                                 9,692,270 |                                                2 |  Europe  
